step	pearson
0	0.1535278
1	0.33072567
2	0.3832409
3	0.3971576
4	0.42358047
5	0.4494349
6	0.45295817
7	0.4606014
8	0.48268265
9	0.4752066
10	0.49802846
11	0.52234554
12	0.5119236
