step	pearson
0	-0.051036403
1	0.013644681
2	0.08614534
3	0.16514912
4	0.27784705
5	0.32593596
6	0.35458678
7	0.42656285
8	0.47727263
9	0.5241993
10	0.5802835
11	0.615392
12	0.6292304
13	0.64556986
14	0.63760006
15	0.6478834
16	0.6233089
17	0.5351075
18	0.6124903
19	0.50383854
20	0.49087492
21	0.49793538
22	0.6830293
23	0.6566092
24	0.724826
25	0.71099687
26	0.7958722
27	0.81509864
28	0.8005601
29	0.80962205
30	0.7724261
31	0.8202142
32	0.80985427
33	0.78020453
34	0.787233
35	0.7535231
36	0.7647474
37	0.71651906
38	0.67430115
39	0.66541696
