step	loss
0	0.10546963925609427
1	0.05742323923897877
2	0.0543876558835252
3	0.0508881157494328
4	0.04991193584511789
5	0.04867172636761424
6	0.04781861910910419
7	0.04758686034448361
8	0.046306754012456104
9	0.04575566616788339
10	0.04568110864735051
11	0.04452865426376294
12	0.0441672464393163
13	0.04346650427604994
14	0.043259653356972703
15	0.04277735467204887
16	0.042616810754276396
17	0.04205178413958697
18	0.041676088675772875
19	0.041462815356221094
20	0.04123527324350362
21	0.03991639508415809
22	0.03982014964554417
