step	spearmanr
0	0.06270041070055056
1	0.28153835462200716
2	0.31249177789180493
3	0.3688739769804382
4	0.38409960209044863
5	0.40177029077225485
6	0.400331592039615
7	0.4151723637862112
8	0.42494435780077905
9	0.440498261519793
10	0.44470752526162877
11	0.4479050386515689
12	0.4580367536424414
13	0.46685068934843055
14	0.47733357606134125
15	0.48382346116013875
16	0.4819568165255336
17	0.4919681836054987
18	0.5012734889282114
19	0.5013036752692486
20	0.5046820869495483
21	0.5131944015020539
22	0.5197101174644848
