step	corr
0	0.02188156064826996
1	0.11703111154321369
2	0.14400717548251052
3	0.1952080568747968
4	0.24305493910542136
5	0.24394574416975032
6	0.2668909088526308
7	0.2805844101806121
8	0.3075266322746407
9	0.34088276721490685
10	0.3317427514034605
11	0.34369363085660704
12	0.36259802365623617
13	0.3644001345917457
14	0.376607253672784
15	0.3877382754390884
16	0.38383175074224163
17	0.39450425074157514
18	0.40508698482257044
19	0.41494399386250946
20	0.40830970523205035
21	0.43425126394466806
22	0.42879380118307653
23	0.4315561685315489
24	0.42138565268896383
25	0.4319058656710819
26	0.4443587166076719
27	0.4437138610279555
28	0.4525598269968437
29	0.4571758159989143
30	0.4659471207286911
31	0.47089081909884606
32	0.4626918784488316
33	0.45944473018430176
34	0.46885727526516385
35	0.4701243927734757
36	0.466937529700125
37	0.4740958924471818
38	0.4849618861098425
39	0.4773542184118151
40	0.49382517769176004
41	0.49921997099043425
42	0.48743511837849474
43	0.4918296862105277
44	0.49046829185666885
45	0.49606241432594
46	0.5144276140764218
47	0.49106831474165236
48	0.5037215235637748
49	0.497048970870724
50	0.5071162911814118
51	0.510867980177349
52	0.5078050428700503
53	0.5208374306882044
54	0.5116945661165784
55	0.5181908549555339
56	0.5155013846533928
57	0.5138746293527897
58	0.5120570148005684
59	0.5253215157747729
60	0.5152759666733973
61	0.5282869946328206
62	0.5275261027514931
