step	spearmanr
0	-0.06907641587621935
1	-0.07773455633245563
2	-0.06326012030677002
3	-0.04618513705291403
4	-0.03446431142461763
5	-0.013551456485285824
6	0.0065696677234981715
7	0.017696145805448076
8	0.015961579285541677
9	0.048426895010459416
10	0.06398302421292716
11	0.061556119197343925
12	0.08139250931297451
13	0.08926710329188825
14	0.09579884900946611
15	0.10861254622103352
16	0.11306380566855105
17	0.12909096619655927
18	0.1375625259445054
19	0.1354914734687883
20	0.15206955940424496
21	0.16372585773934742
22	0.17106908000227766
23	0.17526534767328264
24	0.18374930142623033
25	0.18743944127334303
26	0.20504683079121497
