step	corr
0	0.14882548743120982
1	0.2720917978741433
2	0.3252165001600459
3	0.35973534159274534
4	0.37675346763288764
5	0.37758643845733236
6	0.3786934456330867
7	0.40219053982667996
8	0.40129889227735294
9	0.35802470098933314
10	0.4006918950016528
11	0.4116781600993814
12	0.4199316311279598
13	0.4270474649385701
14	0.4199259415661664
15	0.43014546414903077
16	0.4110049007449612
17	0.4166349155522011
18	0.4116947921055446
19	0.42749458391689654
20	0.43518543466433135
21	0.4514835487113295
22	0.43970086899781846
23	0.4206974881479446
