step	loss
0	0.09171638039223264
1	0.05725599758410722
2	0.05415450781583786
3	0.05068296673341414
4	0.050233718949589834
5	0.04807669355460767
6	0.04672228649593471
7	0.046576717491732554
8	0.04612555852934216
9	0.04615256133792776
10	0.04451230182992608
11	0.04387112453663617
12	0.0453199635605129
13	0.04422116331923544
14	0.04276541764900256
15	0.04341084870059839
16	0.04311557495024767
17	0.04248999394057842
18	0.04235546548296226
19	0.04118547795779919
20	0.04182543427672949
21	0.04074275864057996
