step	spearmanr
0	0.14444607185586597
1	0.25251097855124977
2	0.30761181949962674
3	0.33058366522017396
4	0.3488412267239051
5	0.35960399945609234
6	0.36011877479202187
7	0.37767917631015924
8	0.37932356551860363
9	0.33590233228605465
10	0.3755893673768103
11	0.38449044996141235
12	0.3917328930695182
13	0.40396950382313934
14	0.39767703123795417
15	0.4068853394327814
16	0.38109868727407153
17	0.3954505290223405
18	0.39470827021954263
19	0.39877336897896515
20	0.41609943359105284
21	0.4273017069311734
22	0.4176074212269906
23	0.39702267996257623
