,motif_mean,control_mean,statistic,p_value,p_adj
U2AF50,0.09438119720896071,0.03374762131303521,48353480.5,2.327870273073176e-50,1.18721383926732e-48
ROX8,0.11384502387073081,0.049060418648905806,48453590.0,6.449092217204431e-40,1.64451851538713e-38
SXL,0.051781123760558205,0.017602283539486202,47240773.0,1.5917917600146004e-30,2.706045992024821e-29
ORB2,0.08189496878442894,0.03689938154138915,47629442.5,2.0674360184284396e-25,2.6359809234962605e-24
B52,0.01579140653690782,0.06336227402473835,43806279.0,2.779096637705718e-21,2.8346785704598325e-20
A2BP1,0.08373117884686009,0.04486798287345385,47518161.5,2.6023424867104156e-19,2.2119911137038533e-18
SNF,0.08446566287183253,0.045492388201712655,47489772.5,1.5951711566242246e-18,1.1621961283976493e-17
RNP4F,0.019831068674256335,0.06342174119885823,43994913.0,9.485719903609764e-18,6.047146438551224e-17
CG17838,0.13991920675725303,0.0866139391056137,47870370.5,1.9632395398819927e-16,1.1125024059331292e-15
ELAV,0.05398457583547558,0.02800903901046622,46966416.0,1.70440241090962e-14,8.692452295639063e-14
REF2,0.02570694087403599,0.062440532825880114,44235740.5,1.7567993729728446e-13,8.145160729237733e-13
PABP,0.15424164524421594,0.10668411037107517,47790883.0,3.118770268551823e-13,1.3254773641345249e-12
ARET,0.07858979067205288,0.050309229305423406,47171460.0,7.647052552015793e-13,2.9999975396369653e-12
SF2,0.012486228424531766,0.040289010466222644,44611184.0,3.852323934082372e-12,1.4033465759871495e-11
LARK,0.2196107234667646,0.1606208372978116,48001809.0,6.883053360323868e-12,2.340238142510115e-11
MOD,0.034153507161219246,0.07029019980970504,44266329.5,8.308899268679072e-12,2.6484616418914542e-11
PUM,0.10576569959603378,0.06948739295908658,47329925.0,2.0794731838788016e-11,6.238419551636405e-11
MUB,0.09511568123393316,0.05961584205518554,47162610.0,1.5976507086830921e-10,4.5266770079354273e-10
HRB27C,0.017994858611825194,0.0440651760228354,44636358.5,1.7497316098759102e-10,4.69664800545639e-10
RBP9,0.03672420124862284,0.019653901046622263,46563660.0,1.909065950160037e-09,4.868118172908094e-09
FMR1,0.027543150936467132,0.05586941008563273,44586988.5,2.6888589983356686e-09,6.530086138815195e-09
CG2950,0.055086301872934264,0.0904198382492864,44326342.5,5.781152470192641e-09,1.3401762544537486e-08
MSI,0.030848329048843187,0.05420432921027593,44781061.0,4.019203951159822e-07,8.912147891702214e-07
TRA2,0.04113110539845758,0.06823858230256898,44678578.0,4.4480685275608934e-07,9.452145621066899e-07
CG5213,0.06463459419757621,0.044124643196955284,46698414.5,1.3564584770060125e-06,2.7671752930922656e-06
CG2931,0.03782592728608153,0.05991317792578497,44807930.0,2.7493413564105744e-06,5.392938814497666e-06
BRU-3,0.06353286816011752,0.04430304471931494,46624542.5,8.420524723547723e-06,1.5905435588923476e-05
CG11360,0.031215571061329415,0.04804947668886775,45035790.5,7.115318902959195e-05,0.00012960045144675675
RBP1,0.05435181784796181,0.07436370123691723,44973277.5,0.00033795065298751383,0.0005943270104263174
RSF1,0.04149834741094381,0.05955637488106565,45052991.0,0.00042316867548998944,0.000719386748332982
PAPI,0.04223283143591627,0.03092293054234063,46266144.0,0.0023746115818305234,0.003906619053979248
CG14718,0.08630187293426368,0.10793292102759276,45010243.5,0.004134931530620939,0.006590047126927122
CG7903,0.09070877708409843,0.07501784015223596,46436515.0,0.006306138772841781,0.00974585083075548
SRP54,0.013587954461990452,0.02146764985727878,45445291.5,0.007743279790876308,0.011614919686314461
HRB98DE,0.017260374586852735,0.02461941008563273,45459342.0,0.016911704270660924,0.024642769080105917
QKR58E-1,0.04149834741094381,0.052539248334919124,45323534.5,0.017560648203677302,0.02487758495520951
RBP1-LIKE,0.07124495042232831,0.08551379638439581,45267262.5,0.03266488145499225,0.04502456632985419
CPO,0.08483290488431877,0.07472050428163654,46268865.0,0.04156954219899123,0.05579070137233033
SNRNP70K,0.026441424899008446,0.03425309229305423,45462459.5,0.04348297332610154,0.05686234973413279
HRB87F,0.005141388174807198,0.00868220742150333,45631897.5,0.05668076372468472,0.07226797374897302
CG7804,0.031215571061329415,0.03895099904852521,45480317.5,0.07246948147267991,0.0901449647586994
CG33714,0.09070877708409843,0.08355137963843959,46152071.5,0.13840900336471554,0.16806807551429745
SM,0.06132941608520015,0.07082540437678402,45467618.5,0.1491891030360894,0.17539984207658163
HOW,0.0477414616232097,0.05384752616555661,45501889.0,0.15132535394842336,0.17539984207658163
RIN,0.027543150936467132,0.02491674595623216,45927480.5,0.33203202049959846,0.3763029565662116
SF1,0.03268453911127433,0.031458135109419604,45879050.0,0.5723664840914672,0.6345802323622788
FNE,0.03452074917370547,0.03553163653663178,45728842.5,0.712789508304571,0.7734524451815558
PUF68,0.017627616599338966,0.017126546146527116,45828962.0,0.7397231663934752,0.7859558642930674
EIF-2ALPHA,0.05141388174807198,0.05010109419600381,45846192.0,0.7733175368816101,0.8048815179788187
CNOT4,0.07895703268453912,0.07620718363463368,45748526.0,0.8601014157957696,0.877303444111685
SHEP,0.06647080426000734,0.07049833491912465,45778377.5,0.9584902578784483,0.9584902578784483
