,motif_mean,control_mean,statistic,p_value,p_adj
B52,0.1217741935483871,0.019371145926394003,30813069.5,2.832250874926889e-89,1.4444479462127134e-87
RNP4F,0.125,0.026932211884165343,30828038.0,8.88998905679308e-68,2.2669472094822353e-66
SF2,0.07661290322580645,0.010655219750288715,29990951.0,1.1175121874257935e-66,1.899770718623849e-65
FMR1,0.08709677419354839,0.02754232671649271,29961004.5,1.5093726880194327e-28,1.9244501772247768e-27
ARET,0.027419354838709678,0.08746431917721657,26895402.0,2.245071314709566e-12,2.2899727410037573e-11
PABP,0.04435483870967742,0.11230470877911664,26732701.0,3.4614817421093098e-12,2.942259480792913e-11
CG11360,0.07580645161290323,0.036781208463164315,29511515.5,8.926931117761777e-12,6.284834346224445e-11
MSI,0.08306451612903226,0.04122633081297802,29554451.5,9.858563680352071e-12,6.284834346224445e-11
HRB27C,0.07580645161290323,0.03721700477196958,29488026.0,2.5359055861482643e-11,1.4370131654840163e-10
ROX8,0.03870967741935484,0.09877323339071319,26894365.5,3.718501725772838e-11,1.8964358801441474e-10
CG17838,0.06290322580645161,0.12444163597934325,26913390.0,3.157420527894504e-09,1.4333372080267636e-08
RSF1,0.06612903225806452,0.031028697186934826,29293591.0,3.3725581365335613e-09,1.4333372080267636e-08
U2AF50,0.016129032258064516,0.05515002287930621,27393400.0,6.207169762320044e-09,2.4351204452178636e-08
REF2,0.07096774193548387,0.03388316300960931,29309626.0,7.359320558398872e-09,2.6808953462738745e-08
ELAV,0.018548387096774192,0.057743010916697535,27392314.5,9.979500233082723e-09,3.3930300792481256e-08
SXL,0.014516129032258065,0.05140217462358094,27485443.0,2.8204587758008214e-08,8.990212347865119e-08
MUB,0.04435483870967742,0.08942540256684026,27267947.0,1.2619237831412129e-07,3.785771349423639e-07
A2BP1,0.031451612903225803,0.06909550476107468,27391147.5,1.5630311286034905e-07,4.4285881977098896e-07
PUM,0.09596774193548387,0.16026409256313598,26972083.0,2.0866794082708817e-07,5.601086832727103e-07
SRP54,0.03387096774193549,0.015340030069945308,28964328.5,4.822360498828727e-07,1.2297019272013255e-06
PAPI,0.01129032258064516,0.03891661037631011,27698255.0,1.0675451618114982e-06,2.5926096786850672e-06
HRB98DE,0.035483870967741936,0.017192164382367682,28959348.0,2.2906970926749683e-06,5.310252351201063e-06
MOD,0.07419354838709677,0.042708038262915915,29205868.0,4.801074572747149e-06,1.0645861009134984e-05
BRU-3,0.020967741935483872,0.04477807072974092,27777316.0,4.269479065339657e-05,9.072643013846772e-05
TRA2,0.06612903225806452,0.04133527989017933,29056657.0,0.00019460172763834804,0.00039698752438223003
CPO,0.03387096774193549,0.05994378227616412,27759187.5,0.0002484378275394364,0.00048732035401966375
ORB2,0.02258064516129032,0.04469091146797986,27869400.0,0.0004074537299617593,0.0007696348232611008
CG7903,0.03387096774193549,0.056392042359401214,27810263.5,0.00048220320333482294,0.0008782986917884274
SNF,0.03225806451612903,0.055280761771947795,27848440.0,0.000962212331245949,0.0016921665135704621
QKR58E-1,0.09919354838709678,0.07179744187566732,29133701.0,0.0010348334950849864,0.0017592169416444769
LARK,0.05967741935483871,0.08565576449567472,27753832.0,0.0014495678671353437,0.0023847729427065333
CG2950,0.08064516129032258,0.056326672913080425,29036470.0,0.0017055234469684265,0.0027181779936059297
EIF-2ALPHA,0.037096774193548385,0.0524916653955941,27963238.5,0.005973569932159494,0.00923188080424649
CG5213,0.06532258064516129,0.08864096921099078,27839890.5,0.00660796814571378,0.00991195221857067
SHEP,0.22258064516129034,0.15969755736168914,29225126.5,0.007054471197983037,0.010279372317060996
HOW,0.04516129032258064,0.06589240189135598,27922996.5,0.007404101962305531,0.010489144446599501
CG2931,0.08790322580645162,0.06789706491186019,28982010.0,0.00888662527484233,0.012249132135593482
HRB87F,0.007258064516129033,0.0032684723160394833,28567178.5,0.016812208844807632,0.022563753975926033
CG14718,0.09112903225806451,0.07086047981173599,28893283.5,0.03232700157672544,0.04227377129264096
RBP9,0.02258064516129032,0.033774213932407995,28161234.0,0.044240594998209246,0.05640675862271679
RIN,0.031451612903225803,0.04414616608197328,28124880.5,0.04697358683289684,0.05843055923116436
CG33714,0.031451612903225803,0.04255550955483407,28164984.5,0.07374769233209473,0.08955076926040074
CG7804,0.03790322580645161,0.029132983243631925,28654246.0,0.14196276955834336,0.16837444761570958
CNOT4,0.10403225806451613,0.08572113394199551,28739065.5,0.1977663799212116,0.22922921309049524
RBP1-LIKE,0.05241935483870968,0.06249319068267492,28230271.0,0.244620986002281,0.2772371174692518
FNE,0.043548387096774194,0.0484605495391454,28284191.0,0.32416384593696224,0.3593990465822842
SF1,0.036290322580645164,0.04218508269234959,28317047.5,0.3997700480525205,0.433793030865501
SM,0.06774193548387097,0.06227529252827228,28572360.0,0.5329772578454629,0.5662883364608043
SNRNP70K,0.03870967741935484,0.03390495282504957,28523770.0,0.6325501769149865,0.6583685514829452
PUF68,0.02661290322580645,0.025494084065107968,28501202.0,0.7098471994714303,0.7240441434608589
RBP1,0.05161290322580645,0.054692436755060685,28391703.0,0.7315506073104169,0.7315506073104169
