,motif_mean,control_mean,statistic,p_value,p_adj
CG2950,0.06832839463134043,0.05855263157894737,17631217.0,0.013474280525878372,0.377774851032099
A2BP1,0.06118180233571553,0.05197368421052632,17619358.0,0.014814700040474471,0.377774851032099
RNP4F,0.0453198535820115,0.03700657894736842,17581111.5,0.02498918127844809,0.3923891044067519
EIF-2ALPHA,0.055081052815060136,0.04638157894736842,17591260.5,0.030775616031902108,0.3923891044067519
SNRNP70K,0.033118354540700716,0.03963815789473684,17320786.5,0.0457337392623258,0.4664841404757232
CG14718,0.0756492940561269,0.08601973684210526,17284224.5,0.06890171909586408,0.5325674729124593
ORB2,0.03887048980303295,0.03338815789473684,17546759.5,0.07309749628210227,0.5325674729124593
PABP,0.10127244204287955,0.11200657894736842,17287532.5,0.11148486806198955,0.6062824990909409
CG5213,0.0766951368310964,0.06973684210526315,17564104.0,0.13100999904987762,0.6062824990909409
QKR58E-1,0.0665853233397246,0.060032894736842105,17554735.0,0.13578669513566707,0.6062824990909409
ELAV,0.04043925396548719,0.04572368421052632,17344822.0,0.13918641685039387,0.6062824990909409
PAPI,0.031026668990761723,0.02631578947368421,17516720.0,0.15304370375137064,0.6062824990909409
BRU-3,0.029806519086630644,0.035526315789473684,17360056.0,0.1545425978074947,0.6062824990909409
CG33714,0.037476032769740285,0.04226973684210526,17358432.5,0.1840866729535221,0.6646508208870084
RBP1,0.06240195223984661,0.06973684210526315,17338653.5,0.19548553555500248,0.6646508208870084
SM,0.06902562314798676,0.07911184210526316,17345980.0,0.2435666912213892,0.776368828268178
CNOT4,0.09360292835976991,0.09819078947368422,17346711.0,0.3062137249711806,0.8813429831986966
FMR1,0.04601708209865783,0.039967105263157894,17504055.0,0.318184729192046,0.8813429831986966
CG11360,0.043053860902910926,0.04736842105263158,17375910.0,0.3298555930765992,0.8813429831986966
LARK,0.08819940735576084,0.08256578947368422,17523130.5,0.3456246992936065,0.8813429831986966
RBP9,0.026146069374237406,0.029440789473684212,17393721.5,0.368811622368188,0.8928004246224451
SF1,0.04113648248213352,0.038157894736842106,17489157.0,0.4345161608721122,0.8928004246224451
RIN,0.03695311138225554,0.03470394736842105,17484102.0,0.4572661099943003,0.8928004246224451
HOW,0.05682412410667596,0.06036184210526316,17386148.0,0.46677974946565914,0.8928004246224451
HRB87F,0.005577828133170646,0.006743421052631579,17423004.0,0.4842194441319031,0.8928004246224451
PUM,0.11905176921736099,0.11644736842105263,17508103.0,0.5012899227235921,0.8928004246224451
REF2,0.038173261286386616,0.03618421052631579,17474380.0,0.5732345489343016,0.8928004246224451
RSF1,0.04183371099877985,0.03963815789473684,17474371.5,0.5867597947768446,0.8928004246224451
SXL,0.0383475684155482,0.04013157894736842,17407587.5,0.5892241505980655,0.8928004246224451
ARET,0.05978734530242287,0.05740131578947368,17478212.0,0.6130428238338586,0.8928004246224451
CG17838,0.10876764859682761,0.1069078947368421,17484767.0,0.6508174092292502,0.8928004246224451
FNE,0.040090639707164026,0.038651315789473686,17467322.0,0.6628890605868908,0.8928004246224451
ROX8,0.07861251525187381,0.075,17476940.0,0.6663034228701423,0.8928004246224451
CG7804,0.033641275928185464,0.031085526315789473,17464261.5,0.6717888346080592,0.8928004246224451
U2AF50,0.04096217535297194,0.04292763157894737,17413820.5,0.6755204342436839,0.8928004246224451
HRB27C,0.04200801812794143,0.04029605263157895,17466233.5,0.6817560319012037,0.8928004246224451
MSI,0.044274010807042005,0.04457236842105263,17414293.0,0.6881254729505217,0.8928004246224451
SNF,0.048108767648596826,0.046052631578947366,17466962.0,0.6941103974536535,0.8928004246224451
MUB,0.07826390099355064,0.08190789473684211,17414235.0,0.7579645407019311,0.8928004246224451
MOD,0.04828307477775841,0.049342105263157895,17420890.0,0.7745206816659416,0.8928004246224451
SHEP,0.14659229562489107,0.1411184210526316,17469988.5,0.7844779913572018,0.8928004246224451
HRB98DE,0.021788391145197837,0.021052631578947368,17452802.0,0.7884700807789038,0.8928004246224451
B52,0.0373017256405787,0.035526315789473684,17456102.0,0.7919854959455422,0.8928004246224451
SF2,0.020742548370228344,0.021875,17428827.5,0.7989309630818094,0.8928004246224451
CG2931,0.07408052989367266,0.07384868421052632,17420438.5,0.8084770220107638,0.8928004246224451
PUF68,0.024054383824298413,0.02450657894736842,17429296.0,0.8194509048141052,0.8928004246224451
TRA2,0.04950322468188949,0.051151315789473684,17424895.0,0.8227768619069592,0.8928004246224451
SRP54,0.019522398466097265,0.019901315789473684,17433871.5,0.8822964724202553,0.9053612113400836
RBP1-LIKE,0.0625762593690082,0.06151315789473684,17451325.5,0.8868868470089342,0.9053612113400836
CG7903,0.04950322468188949,0.049342105263157895,17450161.5,0.8876090307255722,0.9053612113400836
CPO,0.05490674568589855,0.056085526315789475,17432367.0,0.9109056121372461,0.9109056121372461
