step	corr
0	-0.010429260406786399
1	0.21460338604389512
2	0.3479869896881472
3	0.4379458861097412
4	0.5049725032331623
5	0.5709350030255422
6	0.6284741116531027
7	0.6462439112550825
8	0.6944593288255277
9	0.7402119224877695
10	0.7681233706658374
11	0.7914617119313228
12	0.806954901115476
13	0.8304805450055159
14	0.8418429906320858
15	0.8604574503079643
16	0.8712234449587559
17	0.8822961206633883
18	0.8885834019284131
19	0.901713432050623
20	0.9083012607551622
21	0.9139126813969305
22	0.919568315118934
23	0.920872461090958
24	0.9250295759796704
25	0.9249422901880753
26	0.9326167109346477
27	0.9387784549333658
28	0.9413236426649789
