step	spearmanr
0	-0.06943624964622563
1	0.15435336575697475
2	0.21361658042796117
3	0.3186993502065812
4	0.3626616177379858
5	0.37472173246626117
6	0.42528511865101865
7	0.4183529016343412
8	0.4519906650778404
9	0.46727797996916776
10	0.4715259979429247
11	0.4778544103583281
12	0.5053444657072996
13	0.4983822783195932
14	0.5050791659976407
15	0.5203964053939762
16	0.5225914678697957
17	0.5458717206625026
18	0.541381146502272
19	0.5636597757962691
20	0.571204950632687
21	0.5627368458976182
22	0.5679210203508885
23	0.5890013346431269
24	0.5777180799161827
25	0.5903828496222824
26	0.6144485237850591
