step	loss
0	1.4769450239205764
1	0.8114896741827067
2	0.7100825603185397
3	0.6205133207190816
4	0.5541099254484716
5	0.44913833061213504
6	0.38524147467750536
7	0.3413505992978539
8	0.28039706989481245
9	0.21968456214503956
10	0.18988000068722416
11	0.16179540870614953
12	0.14272669414309258
13	0.12432464876579491
14	0.11670131399113028
15	0.09905435880090525
16	0.091240409444292
17	0.08243974449238062
18	0.07852564647322335
19	0.06822389810764275
20	0.06460179048818442
21	0.06162146782522183
22	0.056275290725282485
23	0.05594366500484828
24	0.05235970539472667
25	0.05381402502080515
26	0.04767954623204515
27	0.045167967818214735
28	0.042395918869231955
