step	pearson
0	0.067899734
1	0.39570147
2	0.45551738
3	0.5223219
4	0.5660367
5	0.553929
6	0.6276219
7	0.69215775
8	0.7497082
9	0.809566
10	0.8247274
11	0.8641775
12	0.88100374
13	0.89847887
