step	pearson
0	0.0038924748
1	-0.0406883
2	-0.057854585
3	-0.031258285
4	0.024611216
5	0.025244942
6	0.053866237
7	0.09295119
8	0.06691907
9	0.19900553
10	0.15554342
11	0.21784405
12	0.2360568
13	0.24023414
14	0.32586694
15	0.36113587
16	0.38181412
17	0.46257022
