step	pearson
0	0.03302738
1	0.027447702
2	-0.020779066
3	0.06387772
4	0.081852265
5	0.044382673
6	0.1533964
7	0.006266347
8	0.10313743
9	0.062155455
10	0.17159545
11	0.25558692
12	0.2700222
13	0.31514943
14	0.42745107
15	0.52154535
