tr_id,half_life,r_squared,Actual_D,D
FBtr0339984,1.034376763,0.788804979,0.670110935,3.82E-01
FBtr0074097,1.041203609,0.508813837,0.665717228,3.78E-01
FBtr0079492,1.041579164,0.873242326,0.665477195,3.78E-01
FBtr0333291,1.041806958,0.693371594,0.665331687,3.78E-01
FBtr0309204,1.043295054,0.367643398,0.664382696,3.77E-01
FBtr0333877,1.050238661,0.460547869,0.659990158,3.73E-01
FBtr0086243,1.050623446,0.948318928,0.659748441,3.73E-01
FBtr0310295,1.054123151,0.465662867,0.657558066,3.71E-01
FBtr0086322,1.055505681,0.66266948,0.656696779,3.70E-01
FBtr0081764,1.056388044,0.76108406,0.656148263,3.69E-01
FBtr0085267,1.05996395,0.563032983,0.653934675,3.67E-01
FBtr0085584,1.06055031,0.940751167,0.653573125,3.67E-01
FBtr0071217,1.061174047,0.771329721,0.653188968,3.67E-01
FBtr0087453,1.062935224,0.929444781,0.6521067,3.66E-01
FBtr0081712,1.065582,0.904192964,0.650486945,3.64E-01
FBtr0073405,1.071459492,0.843141098,0.646918699,3.61E-01
FBtr0088283,1.07261439,0.680806158,0.646222153,3.60E-01
FBtr0303654,1.077059645,0.391640728,0.643555056,3.58E-01
FBtr0082877,1.079530194,0.940086965,0.642082255,3.57E-01
FBtr0332526,1.081185111,0.593464589,0.64109945,3.56E-01
FBtr0085583,1.081529363,0.89546739,0.640895388,3.56E-01
FBtr0071840,1.082709097,0.672266467,0.64019706,3.55E-01
FBtr0088681,1.091201562,0.833291477,0.635214615,3.50E-01
FBtr0112689,1.093307954,0.858747614,0.633990797,3.49E-01
FBtr0303418,1.099304275,0.631407736,0.630532598,3.46E-01
FBtr0072133,1.100082553,0.948067853,0.630086514,3.46E-01
FBtr0074243,1.102693697,0.846524561,0.628594488,3.44E-01
FBtr0307195,1.105592019,0.741478173,0.626946621,3.43E-01
FBtr0077211,1.107134356,0.660250395,0.626073228,3.42E-01
FBtr0085080,1.109087532,0.982467116,0.624970672,3.41E-01
FBtr0071032,1.109445335,0.720270158,0.624769115,3.41E-01
FBtr0299828,1.109993054,0.464059829,0.624460827,3.41E-01
FBtr0083188,1.112188338,0.793236449,0.62322824,3.40E-01
FBtr0071215,1.112439551,0.883865581,0.623087502,3.39E-01
FBtr0344873,1.119191009,0.676135453,0.619328761,3.36E-01
FBtr0301330,1.119501696,0.932757774,0.619156883,3.36E-01
FBtr0273238,1.119571703,0.792240803,0.619118167,3.36E-01
FBtr0100473,1.122498203,0.652175625,0.617504045,3.34E-01
FBtr0339787,1.12501481,0.927545732,0.616122716,3.33E-01
FBtr0308594,1.125679908,0.917860757,0.615758686,3.33E-01
FBtr0301707,1.126370377,0.394311659,0.615381223,3.33E-01
FBtr0070138,1.133390228,0.858927223,0.611569752,3.29E-01
FBtr0078147,1.13697446,0.555497721,0.609641821,3.27E-01
FBtr0081087,1.13899717,0.690076844,0.608559177,3.26E-01
FBtr0334953,1.139090049,0.421474789,0.608509557,3.26E-01
FBtr0086109,1.14023065,0.474783076,0.607900849,3.26E-01
FBtr0073404,1.14142338,0.916589414,0.607265624,3.25E-01
FBtr0080313,1.143147752,0.493132823,0.606349599,3.24E-01
FBtr0073927,1.147071694,0.80491959,0.604275377,3.23E-01
FBtr0073112,1.154149748,0.500496303,0.600569538,3.19E-01
FBtr0086242,1.156986159,0.912480903,0.599097211,3.18E-01
FBtr0085829,1.158227799,0.906941505,0.598454968,3.17E-01
FBtr0333012,1.160785611,0.728005509,0.597136262,3.16E-01
FBtr0087666,1.162146053,0.933667833,0.596437237,3.16E-01
FBtr0070739,1.163588259,0.931716541,0.595697984,3.15E-01
FBtr0089023,1.164826659,0.962061541,0.595064661,3.14E-01
FBtr0073546,1.16493481,0.699794094,0.595009416,3.14E-01
FBtr0340443,1.166544359,0.719250757,0.594188447,3.14E-01
FBtr0074183,1.169585693,0.871511405,0.592643348,3.12E-01
FBtr0307206,1.169678939,0.571588795,0.592596103,3.12E-01
FBtr0081758,1.169794873,0.612073015,0.592537373,3.12E-01
FBtr0076429,1.169870746,0.962734034,0.592498943,3.12E-01
FBtr0071076,1.172441118,0.628583019,0.591199993,3.11E-01
FBtr0070441,1.175568546,0.63957388,0.589627192,3.09E-01
FBtr0300733,1.177550661,0.864638387,0.5886347,3.09E-01
FBtr0073403,1.178027634,0.474347407,0.588396367,3.08E-01
FBtr0307978,1.183326136,0.689330777,0.585761744,3.06E-01
FBtr0079192,1.183862386,0.831870476,0.585496413,3.06E-01
FBtr0073946,1.186484909,0.588510511,0.584202273,3.05E-01
FBtr0085411,1.18725388,0.758904926,0.583823892,3.04E-01
FBtr0070892,1.191774858,0.839448959,0.581609165,3.02E-01
FBtr0086771,1.193897646,0.548165177,0.580575046,3.01E-01
FBtr0345745,1.196162108,0.857102664,0.579475955,3.00E-01
FBtr0081217,1.196277113,0.5671513,0.579420247,3.00E-01
FBtr0084913,1.199873644,0.976556307,0.577683479,2.99E-01
FBtr0339276,1.201670917,0.679927065,0.576819469,2.98E-01
FBtr0344488,1.203849184,0.934682912,0.575775761,2.97E-01
FBtr0080804,1.203849184,0.934682912,0.575775761,2.97E-01
FBtr0344489,1.207427577,0.768520038,0.574069364,2.96E-01
FBtr0080803,1.207427577,0.768520038,0.574069364,2.96E-01
FBtr0303573,1.208444722,0.774309537,0.573586171,2.95E-01
FBtr0340204,1.222355465,0.933499217,0.567058602,2.89E-01
FBtr0299903,1.223293365,0.678671148,0.566623837,2.89E-01
FBtr0083278,1.224553144,0.942009407,0.566040914,2.88E-01
FBtr0087343,1.228019841,0.727353479,0.564442982,2.87E-01
FBtr0082333,1.233287531,0.464640571,0.5620321,2.85E-01
FBtr0088008,1.243211138,0.813268537,0.557545826,2.81E-01
FBtr0078200,1.244507883,0.596022807,0.556964878,2.80E-01
FBtr0346817,1.24563209,0.805867905,0.556462206,2.80E-01
FBtr0347540,1.24563209,0.805867905,0.556462206,2.80E-01
FBtr0076049,1.246175996,0.571552492,0.556219332,2.80E-01
FBtr0300432,1.248017168,0.523127956,0.555398754,2.79E-01
FBtr0335211,1.248099466,0.878345295,0.555362132,2.79E-01
FBtr0073516,1.249322168,0.627564898,0.554818603,2.79E-01
FBtr0334105,1.250868505,0.973195925,0.554132731,2.78E-01
FBtr0082587,1.250943065,0.939462665,0.554099703,2.78E-01
