,D,S,variance,lengthscale,variance_m,variancve_p,D_95_l,S_95_l,variance_95_l,lengthscale_95_l,variance_m_95_l,variancve_p_95_l,D_95_u,S_95_u,variance_95_u,lengthscale_95_u,variance_m_95_u,variancve_p_95_u,gene_id,tr_id
,0.010099271079449383,0.4127292367722326,0.004817824789894556,32.71371319531756,1.557766044129272,0.0019474796493796982,,0.21785266657669938,0.0020637830321727775,,0.691367705139103,0.0011357586089201619,,0.7819294827250421,0.011247032921714268,,3.509905120248454,0.0033393336884798195,FBgn0000064,FBtr0310660
1,0.0027799764650114182,0.4547073957815226,0.0010134923199934256,51.76948076831783,0.4900458269123244,0.0009990579730835211,,0.2586417217868072,0.00045020534901924207,0.0038123977186668694,0.2707196849096903,0.000594332909709705,,0.7994024102145478,0.002281551485168503,702990.4371987735,0.8870611405827177,0.0016793901486445908,FBgn0000139,FBtr0084659
2,0.016925038839601468,0.3075157063850541,1.8225743922644662,31.133706893938257,15.038707785456854,0.13288583025121417,,0.25559151159851956,0.45677710256154075,4.9972599336238345e-06,0.5475394059840132,0.07628808839020682,,0.3699884596404044,7.272206502274599,193967837.94169205,413.05288602910895,0.23147314678055778,FBgn0000163,FBtr0343763
3,0.10778164314338883,0.6028971598038267,0.6390683128557074,31.88992325099825,1.7801886166557677,0.026230497702051162,0.0790448881128656,,0.20001927696197386,,0.7662243256502781,0.015279548102431616,0.14696564035996168,,2.0418447396641866,,4.13595784521883,0.04503006274039057,FBgn0000308,FBtr0079234
4,0.4225432900276319,0.425093073158384,1.3405160277189054,106.99499740112716,0.850978831343045,0.023505521707009765,0.4225413227104227,0.4247022930367707,1.338388715115516,106.9903436339454,,,0.4225452573540008,0.4254842128474071,1.342646721596256,106.9996513707342,,,FBgn0000319,FBtr0074180
5,0.00425550885777167,1.1032245477926623,0.002037198198392524,81.84020844579885,1.217246340163644,0.005488644835411257,,0.5802272114282694,0.0007592617415078461,,0.5845283035781386,0.003364926113078085,,2.0976341317332183,0.005466068251103704,,2.5348450084824963,0.008952714299491541,FBgn0000339,FBtr0337082
6,0.006736995177162945,0.40305300535997474,0.01802736097616552,61.31521451591955,10.47213039393649,0.009241869732062109,,0.169710779534865,0.006406588847366943,1.12481369395789e-12,0.8459069769657998,0.0055263238673397075,,0.9572269102466416,0.05072679884842961,3342380654972697.5,129.64252331972696,0.015455510425146677,FBgn0000376,FBtr0070496
7,0.015094611760722838,0.047447567116616754,59.45497387450566,24.75585983599185,22.161461021745602,2.651554377923199,,0.03814179686379279,0.002987290390946515,0.04763451864853532,0.47295828828286396,0.8727366094792774,,0.05902374325271856,1183311.1133525015,12865.724554521525,1038.4221331683639,8.055970773677762,FBgn0000463,FBtr0083739
8,0.027587679929973914,0.7823663468722755,0.12081030578115655,13.865224203253476,2.2863224653290963,0.06163787594474759,0.011202161800027513,0.43146617747981375,0.056196622326874675,,1.0073944252787617,0.033354456568270435,0.06794046519813847,1.4186444561970484,0.2597154309033406,,5.188901471260426,0.1139046514879885,FBgn0000565,FBtr0075553
9,0.027587679929973914,0.7823663468722755,0.12081030578115655,13.865224203253476,2.2863224653290963,0.06163787594474759,0.011202161800027513,0.43146617747981375,0.056196622326874675,,1.0073944252787617,0.033354456568270435,0.06794046519813847,1.4186444561970484,0.2597154309033406,,5.188901471260426,0.1139046514879885,FBgn0000565,FBtr0330177
10,0.014218843832934508,0.06339734054570592,3.2199751618782915,24.810757172620345,1.1871924457091227,0.1887914604814682,,0.05401040990065726,0.6026245283940784,0.0526088849759573,0.5589101299946646,0.10602165248998877,,0.07441570607704827,17.20514110294056,11700.94503542613,2.521739770868463,0.33617864571665046,FBgn0000578,FBtr0086584
11,0.28797157138419777,0.137569883095268,2.526700101810671,170.21954265246313,3.1421509680431114,0.13247252121930678,0.28796357063432354,0.13724412355484958,2.512970803789241,170.16202529005255,,,0.287979572356364,0.13789641585114673,2.5405044081146784,170.27707945662033,,,FBgn0000662,FBtr0304697
13,0.1015613724883133,0.9948885461421805,9.870588116902814,25.03176192687652,56.738274492913746,0.7592575740548537,0.08151073822686426,,0.05192635630351736,0.009057667709504075,0.12823660932127104,0.39543781636062414,0.12654421498430748,,1876.2824259044628,69177.75361822496,25103.843664238568,1.4578071188668034,FBgn0001168,FBtr0100153
16,0.013727202661976391,0.0863160688424197,11.490311235803693,28.450254080365248,12.495155508968576,0.6052947053400284,,0.07035317542767465,0.1949423705656774,0.05157725598299943,0.8036078426389085,0.3106038149501817,,0.10590088784362911,677.262987582044,15693.292359410018,194.2849520738966,1.1795788160922507,FBgn0001994,FBtr0343814
17,0.31738430479817525,0.3137533751469212,1.063936413240545,133.7481787995761,1.5915070410363334,0.02286674254240202,0.3173795725456476,0.3131636947130687,1.0605857125999252,133.72682886434222,,,0.31738903712126265,0.31434416593622017,1.0672976997250527,133.76953214339852,,,FBgn0002525,FBtr0346460
18,0.11633981945239003,0.5868702040430033,0.7766415553165852,18.74723055022372,2.1413431327436903,0.051470363160804035,0.08099649401258388,,0.2569441023826465,0.0017367007843966365,0.8687904746966527,0.029278293710105433,0.16710542542880774,,2.3474837517239764,202371.44847340244,5.277855300784213,0.09048335637778918,FBgn0002590,FBtr0343293
19,0.021711473017626205,1.4302817907679701,0.003586900068954751,58.66677436114887,0.825875761586811,0.0033973359804481285,0.004379950488104181,0.4161285453784186,0.0010995242874238477,,0.43790711122475784,0.002081218416010199,0.10762406147635392,4.916043428700881,0.01170128959571407,,1.5575695303712915,0.005545737859735951,FBgn0002774,FBtr0100576
20,0.0030994475456257308,0.1908407155682354,0.017150591722700424,96.99248502264751,0.42679109685783256,0.008834505407047477,,0.1217453937357554,0.006816587096472061,,0.23579753651536794,0.005359129908200087,,0.29915036290937624,0.04315103618216725,,0.7724874612726935,0.014563648787040582,FBgn0002780,FBtr0085874
22,0.2783334601583874,1.2047265895177004,2.5939248287064625,21.044506613798834,8.187015842136775,0.21497677019046396,0.21018453359484,,0.3275909660550782,0.019923144952600606,1.1419941040533594,0.12113314206378469,0.36857857102404085,,20.539168396507584,22228.983409590364,58.693147505310314,0.38152243831988,FBgn0002873,FBtr0308327
23,0.01796212972090512,2.6113366519822354,0.000941877255839639,20.98180178362835,1.5317463634755906,0.0026169208507252255,0.0034162515480112322,0.8435714799745512,0.0003374400913362037,2.7001720135856147e-05,0.7386915727354391,0.0015620122999180507,0.09444213916227759,8.083581856266061,0.0026290081938844857,16303998.555368744,3.1762199659762462,0.004384264284807313,FBgn0003016,FBtr0301496
25,0.0014873168694971082,0.07469026044574822,0.23798415981827115,74.17945528900789,0.7880624872699767,0.015614389992190865,,0.04936334731596315,0.08727016608061107,,0.41473000527654064,0.00935240894323881,,0.1130116839473258,0.6489784867842874,,1.4974621463138003,0.026069131098516454,FBgn0003256,FBtr0329919
26,0.12744655523775172,0.3295407730181193,1.501935652057434,28.269482062669212,1.2470963175856635,0.036231626211049,0.05112279687487612,,0.3498090997001658,0.03734432648902348,0.6087381297089791,0.02059695975392552,0.3177178369509671,,6.448690742621411,21399.86689347504,2.5548740081046737,0.06373419929836892,FBgn0003261,FBtr0078653
27,0.0469596189290327,0.1267157442139801,1.487249716775232,28.532744664247865,1.1218394059637067,0.03568783957612796,,0.09632587631404402,0.35995017745755237,0.003054511194510126,0.5430695175422424,0.02026602748979594,,0.16669331695829886,6.145049672350422,266529.55783510586,2.3174264290668987,0.06284516757182534,FBgn0003261,FBtr0309319
28,0.0017447259370081698,0.5549353988713153,0.09157444052457075,28.96457666556334,26.662757439705928,0.00840226558774675,,0.43040062039418175,0.03916567650253775,0.013076826625886724,0.8451165560421974,0.00456088579582786,,0.7155038406738986,0.2141129403661592,64155.220942864515,841.1888623006669,0.01547902538397561,FBgn0003300,FBtr0077279
29,0.0032519108530400563,0.2959885854466624,0.0905687295786043,29.139515594700395,11.416410008368297,0.008249649684300791,,0.22476528995979625,0.0384492157185137,0.00019975835453521336,1.1664232084778174,0.004630919504760874,,0.38978101436563817,0.21333841599095793,4250692.648472464,111.73853240562514,0.014696156960559903,FBgn0003300,FBtr0304593
30,0.15840789557092363,0.595164729896981,1.0325260900924862,25.10223286668121,1.7843315717135264,0.0544808074944166,0.11494272205848019,,0.3120191302806693,,0.8238888865402346,0.030288318216247608,0.21830926682284313,,3.4168101352076814,,3.8644035741076603,0.0979968040500666,FBgn0003371,FBtr0070474
32,0.008845831823203395,0.09616327227493526,0.7360255463736831,25.015659944205485,1.0954993866575031,0.0648911280317374,,0.08111502315218722,0.2859104569763573,7.231743152377105e-06,0.5441866368407575,0.036255574662227404,,0.11400323362139095,1.894766671508892,86532835.7573691,2.2053443155719203,0.11614375269076582,FBgn0003502,FBtr0079618
33,0.014374269454963305,0.29738531917963473,0.02975351990490175,55.16154795357904,1.5235234256465886,0.00919258878435051,,0.20010837595749248,0.011399804387216163,3.6031428467992275e-05,0.6865410435370939,0.005462918791969047,,0.4419506561902209,0.07765676643751328,84448396.91376656,3.3808956512423074,0.015468596875793644,FBgn0003514,FBtr0345294
35,0.003957184218389378,0.08557453987577075,0.5844797073014203,62.85639359999043,2.3386644763034403,0.0645631797797691,,0.06512425688438926,0.18969083394569675,0.0016505553077303798,0.847875857261842,0.03852615269064238,,0.11244660937859013,1.8009121534304042,2393695.138777081,6.450651337551405,0.10819674149002814,FBgn0003660,FBtr0339455
