step	loss
0	6.662297474321469
1	6.644077424239127
2	6.623246990125001
3	6.602228598385202
4	6.5955994566589675
5	6.589963847660587
6	6.585484747430767
7	6.582250373308049
8	6.571267482846282
9	6.56706848070603
10	6.561617322670397
11	6.5543986808422
12	6.5507608741444825
13	6.556091246986882
14	6.536506571510966
15	6.5304797096153875
16	6.530098135157149
17	6.522797685568955
18	6.520458684719194
19	6.522674723189007
20	6.511938010075296
21	6.505421042134287
22	6.506421583259445
23	6.505050723250831
24	6.502475168045793
25	6.498224916384202
26	6.488420373093558
27	6.48499674267239
28	6.489720513346275
