best_val_spearmanr,num_train_epochs,learning_rate,patience,warmup_percent
0.4870067011032333,30,0.0005,10,0.01
0.4849046103819932,30,0.0005,10,0.05
0.4873960032910791,30,0.0005,10,0.1
0.48659641541425996,30,0.0005,10,0.15
0.45748970717433934,30,0.0001,10,0.01
0.4741185658047681,30,0.0001,10,0.05
0.49299073953306366,30,0.0001,5,0.1
0.4788214130148565,30,0.0001,5,0.15
0.47505112575089015,30,5e-05,5,0.01
0.475546739969468,30,5e-05,5,0.05
0.48735551284480644,30,5e-05,5,0.1
0.46895918389110225,30,5e-05,5,0.15
0.4197660479076791,30,1e-05,5,0.01
0.3883380131954886,30,1e-05,5,0.05
0.43378814538826443,30,1e-05,5,0.1
0.4183803493367391,30,1e-05,5,0.15
0.356478873354973,30,5e-06,5,0.01
0.35302620968899623,30,5e-06,5,0.05
0.35989961059937503,30,5e-06,5,0.1
0.36925454430611293,30,5e-06,5,0.15
0.48299931176085037,35,0.0005,5,0.01
0.4917394731812315,35,0.0005,5,0.05
0.4842310219490045,35,0.0005,5,0.1
0.4849765678768682,35,0.0005,5,0.15
0.4736126156943134,35,0.0001,5,0.01
0.4684282635783677,35,0.0001,5,0.05
0.48380311602530807,35,0.0001,5,0.1
0.47719767721337786,35,0.0001,5,0.15
0.40742253208022944,35,5e-05,5,0.01
0.4756019631632094,35,5e-05,5,0.05
0.4819747787832029,35,5e-05,5,0.1
0.46858289180207907,35,5e-05,5,0.15
0.41773707951992234,35,1e-05,5,0.01
0.40372285700457644,35,1e-05,5,0.05
0.4043122489342136,35,1e-05,5,0.1
0.4228624514274604,35,1e-05,5,0.15
0.3791933246544653,35,5e-06,5,0.01
0.37924518458180234,35,5e-06,5,0.05
0.3784062546911413,35,5e-06,5,0.1
0.3849806858274414,35,5e-06,5,0.15
0.4866062447104688,40,0.0005,5,0.01
0.49002059795595426,40,0.0005,5,0.05
0.47885358552909507,40,0.0005,5,0.1
0.4783473237012664,40,0.0005,5,0.15
0.4717727613155457,40,0.0001,5,0.01
0.4802448293880577,40,0.0001,5,0.05
0.503419785686102,40,0.0001,5,0.1
0.5094562418533073,40,0.0001,5,0.15
0.43038058230446086,40,5e-05,5,0.01
0.47162878070108505,40,5e-05,5,0.05
0.4817476844731114,40,5e-05,5,0.1
0.48639373349641063,40,5e-05,5,0.15
0.4192279909076963,40,1e-05,5,0.01
0.41452128824587603,40,1e-05,5,0.05
0.4269823871480567,40,1e-05,5,0.1
0.4165741604343699,40,1e-05,5,0.15
0.39723820047200564,40,5e-06,5,0.01
0.3961502248056482,40,5e-06,5,0.05
0.40309177042791317,40,5e-06,5,0.1
0.4028934591030906,40,5e-06,5,0.15
0.48377048612230344,45,0.0005,5,0.01
0.49525894280232263,45,0.0005,5,0.05
0.485118973498281,45,0.0005,5,0.1
0.48985663461719864,45,0.0005,5,0.15
0.4612858177618199,45,0.0001,5,0.01
0.4770106960074746,45,0.0001,5,0.05
0.47988018568511775,45,0.0001,5,0.1
0.4888377125522843,45,0.0001,5,0.15
0.46358565214145725,45,5e-05,5,0.01
0.460192641337169,45,5e-05,5,0.05
0.47761723239268505,45,5e-05,5,0.1
0.484641143576202,45,5e-05,5,0.15
0.4401159096446175,45,1e-05,5,0.01
