step	corr
0	0.000897899814056942
1	0.022857167487905138
2	0.04152175623236171
3	0.05483420603330097
4	0.061309770349054805
5	0.08317385868891551
6	0.0926506301892806
7	0.10815052312273518
8	0.10467439123121772
9	0.12535310665825095
10	0.14380580483001493
11	0.1481586116054354
12	0.16478912986360583
13	0.18004078268294316
14	0.1721921782539018
15	0.1881775439145461
16	0.19358657426541914
17	0.19945466721434624
18	0.21503917152708646
19	0.20773432836397066
20	0.20488378439766253
21	0.2287515191846337
22	0.23764689828981997
23	0.250506626669868
24	0.2501039482415459
25	0.2480838640759166
26	0.26108802075592114
27	0.26424184452002986
28	0.26796453110572876
29	0.2707747304208611
30	0.28733242329948644
31	0.2834030270997663
32	0.2850525497771338
33	0.2822178507444263
34	0.29445224190405983
35	0.309726668529706
36	0.2992184390950728
37	0.30525867031593495
38	0.314924272931592
39	0.3007943951584328
40	0.31143723533929163
41	0.32204889249608454
42	0.3278221895653778
43	0.3260444167013279
44	0.31887709134661707
45	0.33358019830426994
46	0.3266089162130128
47	0.3406971876169817
48	0.33614694963071545
49	0.3332007824701305
50	0.3343430979562008
51	0.3497072641829663
52	0.3484548777484232
53	0.3580973879181737
54	0.3516272965065821
55	0.35580345212471165
56	0.36034165894821757
57	0.3513100934344364
58	0.3529400509847943
59	0.36272180892823636
60	0.37199289289546966
61	0.37255120977036627
62	0.3628588799958636
63	0.3671624378796002
64	0.36708740920375205
65	0.3821616004141797
66	0.38189682958664456
67	0.3716539591646738
68	0.38245414963476354
69	0.37429465882074686
70	0.38639107352245056
71	0.38682575226493837
72	0.38962347264167685
73	0.3902309744411515
74	0.38295903720327545
75	0.390439521484892
76	0.3992889909343804
77	0.3976177605748076
78	0.39745041855514196
79	0.4041352831282025
80	0.3938220042942593
81	0.40712152347687625
82	0.40074932534811514
83	0.39374194532318046
84	0.41367706677648275
85	0.4018137598101955
86	0.4071390504746928
87	0.40654638365314966
88	0.41471152923787347
89	0.40871269372924107
90	0.40696301297609827
91	0.4182314138562573
92	0.4224329945375482
93	0.4285860287811549
94	0.42139811515308767
95	0.42567662621976554
96	0.4268635696564899
97	0.4166540811193627
98	0.4177251470184009
