step	loss
0	0.21987855074445853
1	0.1370816013535087
2	0.10100174967325136
3	0.08346788112199709
4	0.0763049316540193
5	0.06804166972804605
6	0.06527709207508002
7	0.06267895080735174
8	0.059984300076291804
9	0.05708541346483686
10	0.05731991439890326
11	0.05428868492416451
12	0.053641005052944245
13	0.05338324346904005
14	0.0513543566960967
15	0.05123262013193597
16	0.05120670667776231
17	0.05043967513974463
18	0.04938993998541591
19	0.04878378902258498
20	0.048502786357081336
21	0.049466290061226055
22	0.04773548997813062
23	0.047769950912072416
24	0.047686411549201176
25	0.04665731203355146
26	0.04584237213215132
27	0.04532080555983474
28	0.045983367337939444
29	0.046526142657640275
30	0.045422836154531895
31	0.044695644063896006
32	0.044518784295474546
33	0.0449059388359611
34	0.04422469045757578
35	0.04434375661645043
