step	spearmanr
0	0.07154504954733254
1	0.1159266419774559
2	0.17407787281542814
3	0.20298413168141757
4	0.2184851851477973
5	0.25877526904373993
6	0.2607445625600966
7	0.28809982663566475
8	0.2949015044201477
9	0.31760195106432487
10	0.32165515544400847
11	0.3461090165425408
12	0.3516830409360794
13	0.3573834577067388
14	0.3749375391237221
15	0.37146003535760924
16	0.377275973442952
17	0.3874143500084427
18	0.4014732955451876
19	0.3953304589937787
20	0.3980410304853568
21	0.40043624726953225
22	0.41971077488868697
23	0.4194546407754515
24	0.42506836909001405
25	0.4358902637756401
26	0.43882348393379833
27	0.4465440391057206
28	0.4392831450404591
29	0.4332257001883187
30	0.45165922831942285
31	0.4575668956248731
32	0.4658157283171584
33	0.4579844204506107
34	0.4690352509612758
35	0.4617657611323286
