step	loss
0	14.713249206542969
0	14.120402336120605
0	17.13016128540039
0	12.351825714111328
0	12.729509353637695
1	12.643195152282715
1	13.278443336486816
1	11.978717803955078
1	12.308085441589355
1	8.922139167785645
2	10.709564208984375
2	9.137252807617188
2	8.1730318069458
2	6.666705131530762
2	4.776937961578369
3	5.685932159423828
3	4.2499589920043945
3	4.569494247436523
3	3.308506488800049
3	3.379329204559326
4	2.8108959197998047
4	2.806342601776123
4	2.106973886489868
4	1.7902342081069946
4	2.207958459854126
5	1.8381507396697998
5	1.9184186458587646
5	1.7079269886016846
5	2.054811954498291
5	2.055009365081787
6	1.6876072883605957
6	1.9004590511322021
6	1.9956247806549072
6	2.1254544258117676
6	1.597362756729126
7	1.5503202676773071
7	1.8236231803894043
7	2.0383806228637695
7	1.9130470752716064
7	1.9335157871246338
8	1.8733718395233154
8	2.133448600769043
8	1.9606388807296753
8	1.7001149654388428
8	1.3900283575057983
9	1.5474538803100586
9	1.9150855541229248
9	1.540460467338562
9	1.906981110572815
9	1.5130767822265625
10	1.8069593906402588
10	1.8438338041305542
10	1.7254180908203125
10	1.8041232824325562
10	1.6753180027008057
11	1.2701263427734375
11	1.7856296300888062
11	2.1495537757873535
11	1.8109612464904785
11	1.6512386798858643
12	1.793004035949707
12	1.8272305727005005
12	1.7040854692459106
12	1.543219804763794
12	1.8616597652435303
13	1.6030938625335693
13	1.45878005027771
13	1.9515573978424072
13	1.434676170349121
13	1.4082080125808716
14	1.3913153409957886
14	1.2612305879592896
14	1.4624871015548706
14	1.7690341472625732
14	1.3910636901855469
15	1.5273809432983398
15	1.296151876449585
15	1.2644429206848145
15	1.5448272228240967
15	1.178274393081665
16	1.5942695140838623
16	1.1428565979003906
16	1.4310630559921265
16	1.2492866516113281
16	1.1110031604766846
17	1.095344066619873
17	1.4842708110809326
17	1.0184680223464966
17	1.139799952507019
17	0.9911577105522156
18	1.0865238904953003
18	0.9634842872619629
18	1.2192498445510864
18	1.248389720916748
18	1.1304413080215454
19	1.0415990352630615
19	0.9898808002471924
19	0.8790493607521057
19	1.0776703357696533
19	0.9966257810592651
20	0.9266014099121094
20	1.0564820766448975
20	1.0752366781234741
20	0.9059377908706665
20	1.0862741470336914
21	0.9756156206130981
21	0.9398770332336426
21	0.8243885636329651
21	0.7639157772064209
21	0.7323074340820312
22	0.6156962513923645
22	0.648246705532074
22	0.8073428869247437
22	0.6895730495452881
22	0.8249280452728271
23	0.8723177909851074
23	0.684809684753418
23	0.5829199552536011
23	0.6042019724845886
23	0.5836689472198486
24	0.7038964033126831
24	0.6467764377593994
24	0.62371826171875
24	0.5293436050415039
24	0.5770789384841919
25	0.4694439470767975
25	0.5796705484390259
25	0.5980384349822998
25	0.5940936207771301
25	0.6785535216331482
26	0.6443507671356201
26	0.5378372073173523
26	0.5477191209793091
26	0.6179588437080383
26	0.486347496509552
27	0.47894519567489624
27	0.6549777984619141
27	0.5069921016693115
27	0.4484839141368866
27	0.5667718052864075
28	0.5950302481651306
28	0.613067626953125
28	0.3910577893257141
28	0.4825183153152466
28	0.45525026321411133
29	0.43543800711631775
29	0.3401092290878296
29	0.3339465856552124
29	0.6368482112884521
29	0.5541369915008545
30	0.5617813467979431
30	0.39253199100494385
30	0.473619282245636
30	0.35357052087783813
30	0.5783110857009888
31	0.3577287793159485
31	0.4696100354194641
31	0.53923499584198
31	0.3734484612941742
31	0.37246423959732056
32	0.469565749168396
32	0.548173725605011
32	0.37819188833236694
32	0.47861701250076294
32	0.3447144627571106
33	0.3411046266555786
33	0.4069869816303253
33	0.539300799369812
33	0.4445437788963318
33	0.5740556120872498
