step	corr
0	0.01691194583217455
1	0.09777965574701367
2	0.1330811364257572
3	0.17938607203455958
4	0.1825309016592955
5	0.2226594221549931
6	0.3244748907278537
7	0.41304157173070977
8	0.5030119952457568
9	0.5987731835263791
10	0.7251460516951054
11	0.7842542479879602
12	0.8467562923713561
13	0.8617981100329295
