step	pearson
0	0.011647107
1	0.09920646
2	0.13970406
3	0.18315014
4	0.18380958
5	0.23128104
6	0.3289482
7	0.42056626
8	0.5185884
9	0.619066
10	0.7426929
11	0.7952717
12	0.85548747
13	0.8680084
