step	best_spearmanr
1	0.06804076835044691
2	0.12272199820069148
3	0.16427535332320087
4	0.19728060282428497
5	0.22580023457155227
6	0.24648007667591568
7	0.2620287579418735
8	0.2773008805939412
9	0.2895798274216733
10	0.30004572563564147
11	0.3077295815944571
12	0.31267013906696384
13	0.3176505107547111
14	0.3226232135727491
15	0.3276578904441251
16	0.3291711980899402
17	0.33425321425495896
18	0.3389438624358152
19	0.34311496067068104
20	0.3431176287982674
21	0.3461938361140176
22	0.35059931417937273
23	0.3532630161888242
24	0.3545526963985551
25	0.3559519136306331
26	0.3594546538935251
27	0.3615800332030105
28	0.36285015779498275
29	0.36560895524914544
30	0.36774866429858366
31	0.3679845938798266
32	0.37013192532885475
33	0.37243718756345795
34	0.37427102200949636
35	0.3750736970390654
36	0.3768918103021999
37	0.3780350949845433
38	0.37903656948451303
39	0.38166290173094386
41	0.3821502264473434
42	0.38620036423935766
43	0.38754874325598804
