step	best_spearmanr
1	0.16738164497574806
2	0.2424176686923667
3	0.269812085531543
4	0.3012936424590807
5	0.31501289340712785
6	0.32626445681795274
7	0.33645327052710094
8	0.3566952987112625
9	0.36676023633044047
10	0.3841746323056569
11	0.3854349631119379
12	0.397828319889645
13	0.4039016589039399
14	0.4148642346444065
15	0.41591165845538425
16	0.42404791381979856
17	0.4283377614199367
18	0.43837941141097225
19	0.4451558865524932
20	0.4501014607439348
22	0.45527000732217293
23	0.45640196444488335
24	0.4595182575816763
26	0.4632306615470571
27	0.4635504054834976
28	0.46952640415806124
29	0.4729266851262752
30	0.47512311331825446
31	0.4753182061682957
32	0.47796503666438683
33	0.48306670430803555
42	0.4887956215866541
46	0.48937067497716524
56	0.4939650149359226
