step	pearson
0	0.013245786
1	0.07472238
2	0.18711108
3	0.3142984
4	0.38712513
5	0.41369885
6	0.4406407
7	0.45335212
8	0.49292064
9	0.49929333
10	0.49724016
11	0.49158615
12	0.5130575
13	0.5286472
14	0.53791887
15	0.544054
16	0.56227
17	0.5665381
