,RPFs.DC1_t_bw_star_s.bam,RPFs.DC2_t_bw_star_s.bam,RPFs.DC3_t_bw_star_s.bam,RPFsRawCounts.DC1_t_bw_star_s.bam,RPFsRawCounts.DC2_t_bw_star_s.bam,RPFsRawCounts.DC3_t_bw_star_s.bam,mRNA.DC4_t_star_s.bam,mRNA.DC5_t_star_s.bam,mRNA.DC6_t_star_s.bam,mRNARawCounts.DC4_t_star_s.bam,mRNARawCounts.DC5_t_star_s.bam,mRNARawCounts.DC6_t_star_s.bam,TE.DC1_t_bw_star_s.bam,TE.DC2_t_bw_star_s.bam,TE.DC3_t_bw_star_s.bam
FBgn0000008,18.37520314,8.195410459,6.004390726,6,4,4,60.4971935,74.90913043,52.8158897,215,245,172,0.315058331,0.121137081,0.130154695
FBgn0000014,63.5734388,40.50570771,25.22512843,21,20,17,45.89403291,106.688814,125.0572515,165,353,412,1.37700758,0.385422647,0.208041411
FBgn0000017,259.9806708,186.0429778,93.82849999,201,215,148,284.6206392,270.659985,231.4933275,2395,2096,1785,0.913731835,0.688518693,0.407876222
FBgn0000018,92.42228707,30.91551855,49.83075324,10,5,11,98.50325232,122.7202199,89.88841035,116,133,97,0.938886769,0.257965259,0.559265511
FBgn0000022,54.24392029,24.19299467,17.72506619,3,2,2,66.45163564,117.3359094,145.0357469,40,65,80,0.819015281,0.212893912,0.128222484
FBgn0000032,303.1030915,443.9187414,345.3147652,37,81,86,547.9436403,471.08459,402.4759892,728,576,490,0.553978713,0.942455549,0.858328065
FBgn0000042,17360.03384,17230.97708,20587.52748,3118,4626,7544,12368.83116,13565.10768,12176.01821,24179,24404,21811,1.403498044,1.270222638,1.690769212
FBgn0000043,5027.192646,4611.637101,6307.627228,493,676,1262,2911.893509,3078.563871,2723.755272,3108,3024,2664,1.72618485,1.497821541,2.315300495
FBgn0000044,528.9621268,733.4939898,1282.20908,55,114,272,36.22943946,331.259816,85.8236834,41,345,89,14.23502837,2.210601326,14.77948217
FBgn0000045,81.92987425,109.6231062,301.1837992,8,16,60,0,1.022445279,0,0,1,0,82.92987425,54.69770051,302.1837992
FBgn0000046,1183.730155,1093.075746,1389.221,142,196,340,192.2445151,335.3954647,279.1682912,251,403,334,6.130731082,3.25234987,4.962092582
FBgn0000047,93.55800922,111.2726075,214.0010029,9,16,42,2.865336201,0,0,3,0,0,24.46307495,112.2726075,215.0010029
FBgn0000052,67.3094383,77.55235222,53.15321213,18,31,29,125.0606594,111.2519157,113.2310824,364,298,302,0.541877526,0.699786295,0.474067224
FBgn0000053,79.78092906,64.97691748,59.50690369,23,28,35,83.18166904,95.23393291,81.03682721,261,275,233,0.959602369,0.685588913,0.737557823
FBgn0000055,22.06817875,19.68498324,10.81669412,3,4,3,2.703467164,0.73440058,0,4,1,0,6.228806069,11.92630093,11.81669412
FBgn0000057,101.3216134,82.31003795,63.85201713,14,17,18,155.5986368,147.3981392,123.361101,234,204,170,0.653400409,0.561395435,0.521481529
FBgn0000063,61.95444484,41.4478769,64.5296723,8,8,17,69.7307647,83.50144882,79.97881442,98,108,103,0.890057461,0.502333126,0.809219952
FBgn0000064,400.4755483,465.9485663,450.1929485,92,160,211,964.2757769,964.3468191,919.1826088,2411,2219,2106,0.415917977,0.48371068,0.490329793
FBgn0000071,2683.903322,2593.567351,4084.352572,315,455,978,1069.357409,1740.402571,1753.028292,1366,2046,2052,2.508417561,1.489929666,2.329125814
FBgn0000075,126.7398791,129.6783676,197.3268497,17,26,54,20.54951098,42.42550255,31.39560902,30,57,42,5.927739114,3.009254007,6.122028747
FBgn0000077,186.5604309,109.2087432,291.4726338,16,14,51,133.9138315,126.8860343,92.3595694,125,109,79,1.390223885,0.861773092,3.132754742
FBgn0000083,879.8173724,877.5533243,1132.989138,110,164,289,471.792188,446.3745532,468.3472231,642,559,584,1.863011689,1.96379816,2.416098534
FBgn0000097,273.6065726,374.2240195,184.7709778,90,184,124,806.6721712,1005.829325,1049.48514,2888,3314,3443,0.339997566,0.372678874,0.176843033
FBgn0000100,2322.276991,1495.14711,2711.020844,186,179,443,11972.71454,12779.01692,12736.44026,10437,10252,10174,0.194031433,0.117069259,0.212917257
FBgn0000108,15.58567285,15.64035602,11.45895122,6,9,9,7.398639536,10.37342257,9.115859113,31,40,35,1.974804702,1.463091336,1.231625617
FBgn0000109,1412.838954,1553.600188,1408.882355,87,143,177,202.9215569,160.5078861,188.8802947,136,99,116,6.933249116,9.625537335,7.425111472
FBgn0000114,25.53801818,7.118783247,6.258716093,12,5,6,170.3099299,75.63864084,104.1312357,871,356,488,0.154912317,0.105935898,0.069044333
FBgn0000115,634.0190312,809.7644815,800.4520765,33,63,85,586.0603059,425.8229864,541.3148343,332,222,281,1.081693013,1.899533313,1.47783543
FBgn0000116,127.7611513,205.768186,213.3786364,27,65,92,225.6411372,336.831233,185.5098885,519,713,391,0.568127891,0.612045796,1.149422361
FBgn0000117,5796.682279,5147.860619,6704.043763,1246,1654,2940,3466.983107,3997.615592,3838.986142,8111,8607,8230,1.671773507,1.287660817,1.746111448
FBgn0000119,561.4930102,425.3593528,314.3389249,204,231,233,393.2425011,411.9111921,458.3941577,1555,1499,1661,1.426769079,1.032569136,0.686423455
FBgn0000139,578.6503568,665.0529752,541.7961898,78,134,149,412.375511,395.5037925,432.1684012,605,534,581,1.402236808,1.679814892,1.253083531
FBgn0000140,248.5252506,330.779464,193.6207589,95,189,151,620.3700018,660.5162662,723.9544664,2581,2529,2760,0.401572734,0.501543924,0.268459287
FBgn0000146,236.4723074,180.2759253,137.470675,43,49,51,395.124952,300.3218514,284.5226138,782,547,516,0.599488384,0.601602321,0.484972707
FBgn0000147,210.2797502,189.9157752,206.1367875,20,27,40,306.2263715,303.3563374,253.0078249,317,289,240,0.687700568,0.627277148,0.815474041
FBgn0000150,7206.95519,9246.283029,13123.83893,316,606,1174,7985.820743,7725.673879,7107.240372,3811,3393,3108,0.902481153,1.196799965,1.846425872
FBgn0000152,51.51241414,4.307762352,22.09266017,8,1,7,43.18775671,24.42830231,28.4072928,73,38,44,1.18839285,0.208734436,0.785269842
FBgn0000157,20.04298374,3.352217605,0,4,1,0,94.83867389,92.04664818,116.0565396,206,184,231,0.219566725,0.046774577,0.00854288
FBgn0000158,178.9268881,393.3102137,263.1024663,21,69,63,137.7795784,84.21302762,97.39046064,176,99,114,1.296493982,4.627346601,2.684228375
FBgn0000163,268.1902638,257.9174229,126.9718118,176,253,170,364.0152323,399.0399735,362.4100887,2600,2623,2372,0.737476796,0.647228877,0.352141605
FBgn0000166,294.2133768,174.9603794,51.27408736,45,40,16,966.5444121,757.1739478,668.659974,1609,1160,1020,0.305116099,0.232084444,0.078060642
FBgn0000173,824.2265951,722.7248492,1082.546441,103,135,276,983.7423811,877.2017951,855.3066687,1338,1098,1066,0.838012673,0.824098576,1.265371952
FBgn0000179,2.72035411,5.459797238,0,1,3,0,4.998863813,17.65332714,14.72904044,20,65,54,0.620176458,0.346308044,0.063576669
FBgn0000180,617.4688989,639.951234,530.880882,122,189,214,1313.679971,1570.449732,1531.544948,2825,3108,3018,0.470433043,0.407872566,0.347057281
FBgn0000181,1286.977358,1657.415744,1135.459027,120,231,216,3369.02808,2896.307725,3447.533008,3419,2705,3206,0.382185943,0.572398897,0.329548542
FBgn0000182,3.646483022,0,0,1,0,0,0,0,0,0,0,0,4.646483022,1,1
FBgn0000183,346.8105137,284.4745027,180.3359453,115,141,122,380.7123951,273.3808162,289.0730211,1374,908,956,0.911184751,1.040431714,0.625138955
FBgn0000212,1650.057347,1430.905195,1289.391683,557,722,888,1346.213138,1283.871037,1481.284457,4946,4341,4987,1.225535367,1.114434954,0.870542544
FBgn0000216,311.6646297,208.5054146,290.2479588,10,10,19,1048.055961,1496.650402,1753.095736,366,481,561,0.298043804,0.139889399,0.166038804
FBgn0000221,45.73947117,30.59996705,33.62872902,4,4,6,74.59425244,67.3551693,82.55034617,71,59,72,0.61829398,0.462290817,0.414465417
FBgn0000227,2857.448287,3265.392194,4682.609821,233,398,779,1130.158253,1041.932995,905.0144788,1003,851,736,2.527010062,3.131929097,5.16946465
FBgn0000228,3190.242693,2638.189164,2894.392728,953,1178,1764,1143.244847,999.6201635,966.3350707,3717,2991,2879,2.788950897,2.63755345,2.993164226
FBgn0000229,156.1103111,115.4322345,157.0618291,19,21,39,77.75549353,187.0254067,199.3648584,103,228,242,1.994912406,0.619236711,0.788870016
FBgn0000233,56.51178698,105.8587817,102.4870093,10,28,37,176.0169974,149.5108419,182.4526463,339,265,322,0.32489415,0.709973982,0.564107476
FBgn0000239,1761.285237,1594.812147,1079.767118,331,448,414,1063.35146,962.6040112,878.1865604,2175,1812,1646,1.655736195,1.656087073,1.229280754
FBgn0000244,10.41928674,0,11.91633849,3,0,7,20.42267277,18.03050338,7.661162439,64,52,22,0.53304678,0.052547217,1.491293874
FBgn0000246,283.8056765,400.8316338,126.7419767,45,95,41,388.8185296,287.1185019,287.0910617,671,456,454,0.730610925,1.394674869,0.443408331
FBgn0000247,44.83783201,6.315108486,8.096868763,19,4,7,56.59100171,66.20413219,52.52901214,261,281,222,0.795920034,0.108849088,0.169942773
FBgn0000250,2583.85355,2452.761348,2968.143386,518,735,1214,2564.212986,2216.580467,2291.150834,5595,4451,4581,1.007656504,1.106503861,1.295352532
FBgn0000251,206.4505314,151.0650124,69.56916056,32,35,22,445.165842,338.1528895,351.9007407,751,525,544,0.464962827,0.448367144,0.199968865
FBgn0000253,2790.052653,3118.569423,2887.49776,978,1634,2065,1231.933519,1009.950407,1203.089862,4700,3546,4206,2.263749513,3.085778889,2.398905472
FBgn0000256,5.314281507,14.22113853,15.62873624,2,8,12,26.61073853,26.26258842,25.04365247,109,99,94,0.228689338,0.558315971,0.638494783
FBgn0000257,124.160187,114.2128255,93.82118108,24,33,37,142.5962946,115.1764668,111.0043873,300,223,214,0.871611537,0.991705366,0.846584525
FBgn0000259,93.00225515,81.66248876,39.88683606,32,42,28,151.4057712,154.0727361,170.7640207,567,531,586,0.616789341,0.533056234,0.238040749
FBgn0000261,540.7608076,417.4293047,509.7179407,65,75,125,384.4817284,431.0691884,357.8527822,503,519,429,1.405412417,0.968431251,1.423196269
FBgn0000273,330.1630823,248.0067199,200.1570203,114,128,141,620.2714645,570.4774957,585.1321541,2331,1973,2015,0.533040871,0.435724454,0.343193969
FBgn0000283,4202.107485,3508.874629,2799.848235,1088,1358,1479,1880.035652,1579.377629,1933.548553,5298,4096,4993,2.234464552,2.220908828,1.447804569
FBgn0000286,15.37015833,2.570680894,0,4,1,0,50.8389663,51.78928213,50.856625,144,135,132,0.315788672,0.067640262,0.019283939
FBgn0000289,409.2456829,314.6515308,209.5730335,134,154,140,1127.750904,1106.81161,1151.6961,4019,3630,3761,0.363451034,0.284932499,0.182678707
FBgn0000299,59.16825347,181.7260817,191.1446412,22,101,145,2.223947076,19.06391928,3.235955716,9,71,12,18.662916,9.107197808,45.36039894
FBgn0000303,4.133771703,0,0,1,0,0,0,0.825399604,0.414478247,0,2,1,5.133771703,0.547825253,0.706974464
FBgn0000307,627.0948215,535.5092982,258.0647916,293,374,246,735.0565647,723.5029738,736.0629682,3738,3386,3430,0.853324122,0.740520491,0.351482577
FBgn0000308,3685.268467,3767.737204,5684.537151,585,894,1841,2365.558934,2081.752196,2481.707244,4087,3310,3929,1.557649131,1.80949861,2.290055408
FBgn0000316,1752.352844,1477.24604,1794.860363,223,281,466,836.7890725,989.2807399,861.9642846,1159,1261,1094,2.09283327,1.492754509,2.081036719
FBgn0000317,248.5740102,284.6532591,137.205275,111,190,125,446.2807574,428.590584,359.9328762,2169,1917,1603,0.557980655,0.664943017,0.382911295
FBgn0000318,4284.082801,5127.951881,5981.702347,185,331,527,819.1486629,675.0823474,879.9957855,385,292,379,5.224763503,7.586282796,6.790841052
FBgn0000319,1250.165265,1196.393519,787.2637712,453,648,582,1192.251068,1385.877946,1292.234588,4702,5030,4670,1.048534795,0.863373393,0.609528835
FBgn0000320,98.85427713,60.12188648,103.5139062,22,20,47,47.8901991,105.8699138,95.06277631,116,236,211,2.042419114,0.57192791,1.087975074
FBgn0000326,683.3635742,403.0350866,520.0538265,76,67,118,138.7916646,115.8019083,170.39439,168,129,189,4.895596431,3.459147992,3.040086823
FBgn0000330,130.8499528,87.53936459,54.9736833,14,14,12,243.0232584,267.8028558,227.7230871,283,287,243,0.540317155,0.329384018,0.24472249
FBgn0000337,37.05152693,24.78768281,45.40191535,4,4,10,0,4.623851695,0,0,5,0,38.05152693,4.585413024,46.40191535
FBgn0000339,533.0467136,544.3014444,508.7933762,38,58,74,533.5779622,592.3928575,412.101835,414,423,293,0.999006228,0.918955187,1.234062241
FBgn0000346,193.3592805,75.45910242,84.24430551,36,21,32,140.1511708,122.2602108,100.168396,284,228,186,1.376958331,0.620306439,0.842598172
FBgn0000352,525.6486045,673.048299,571.5989615,151,289,335,658.553079,669.0168791,649.2123417,2059,1925,1860,0.798493133,1.006016893,0.880633794
FBgn0000370,125.9405538,129.622998,71.22649296,26,40,30,155.322205,143.1435338,157.3593365,349,296,324,0.812044289,0.906200886,0.45609242
FBgn0000376,311.4721451,214.0855904,284.4220863,73,75,136,673.888585,578.4740698,594.2290155,1719,1358,1389,0.462998119,0.371173796,0.479516419
FBgn0000377,938.522168,1317.589705,1024.580273,132,277,294,323.3640029,268.3182276,340.7640374,495,378,478,2.896505653,4.896028452,3.000843158
FBgn0000382,74.05425718,82.5712006,22.33699363,39,65,24,319.0913254,273.3621969,224.2776351,1829,1442,1178,0.234477636,0.304601733,0.103592146
FBgn0000384,311.9352502,493.6237449,235.2226584,52,123,80,628.3213718,671.3585074,561.1746051,1140,1121,933,0.49725826,0.735654773,0.420194467
FBgn0000392,227.1836832,221.5406347,130.2273703,59,86,69,0,0,0,0,0,0,228.1836832,222.5406347,131.2273703
FBgn0000394,104.991358,194.510263,182.0941895,13,36,46,63.07321895,58.05377559,68.83104782,85,72,85,1.654222462,3.310715718,2.621959647
FBgn0000395,137.8840607,133.2430998,182.1005905,36,52,97,180.5280948,189.6623002,196.240083,513,496,511,0.765083008,0.704088326,0.928313291
FBgn0000404,6833.303061,6080.157893,5253.696866,1203,1600,1887,3980.994787,3569.271353,4086.412603,7628,6294,7175,1.716301358,1.703276108,1.285580238
FBgn0000405,3439.091843,2206.12004,1760.348631,632,606,660,12177.23061,10459.00382,9575.992926,24356,19252,17551,0.28247879,0.211005663,0.18391458
FBgn0000411,180.7761041,60.47012228,193.8282792,32,16,70,415.7568659,548.7716375,500.1577499,801,973,883,0.436168229,0.111810283,0.388756393
FBgn0000412,7747.016318,9059.55471,7230.684366,877,1533,1670,3444.499469,2789.470944,3866.997251,4244,3163,4366,2.248735311,3.246962571,1.869619831
FBgn0000414,180.6511746,187.8663026,78.02566488,101,157,89,505.5005314,515.8871738,501.4317593,3076,2889,2796,0.358639653,0.365391738,0.157286365
FBgn0000416,6040.832837,5173.559074,6622.294795,1285,1645,2874,2978.563153,3143.125789,3114.248412,6896,6697,6607,2.027757939,1.645786276,2.126088812
FBgn0000426,4473.555344,5819.399516,7082.796015,126,245,407,649.1591984,361.5515385,548.2242535,199,102,154,6.882245695,16.05399205,12.89782083
FBgn0000439,78.69560347,44.5481448,103.8492149,13,11,35,111.2379516,101.5322878,157.8104362,200,168,260,0.710059319,0.44423221,0.660216151
FBgn0000447,844.7974678,949.4928635,806.0690596,75,126,146,411.8985675,348.6107752,330.9132942,398,310,293,2.048438852,2.718717302,2.431565935
FBgn0000449,562.4796993,415.617274,534.9380102,67,74,130,175.8663566,186.9066209,214.6483157,228,223,255,3.185906636,2.217150583,2.485240881
FBgn0000451,39.8890737,32.61624395,19.55158664,9,11,9,3.257746586,1.327457022,1.333177425,8,3,3,9.603454052,14.44333607,8.808411405
FBgn0000454,7.88799158,21.1084454,23.19774362,1,4,6,88.4182955,77.96315497,67.22651816,122,99,85,0.099397909,0.279984322,0.35466772
FBgn0000455,322.942704,267.2203683,274.9247708,38,47,66,217.0713694,183.2666345,155.9366589,278,216,183,1.485489383,1.455610068,1.758191953
FBgn0000459,107.2349012,181.0600145,90.10469433,21,53,36,95.24205749,150.9024689,132.608658,203,296,259,1.124611257,1.198532294,0.681877175
FBgn0000463,1039.819022,979.3670773,665.183651,331,466,432,1245.450392,1330.731902,1541.519361,4315,4243,4894,0.835026431,0.736159489,0.431880252
FBgn0000464,192.4801196,75.11600696,55.03395563,120,70,70,14.00051814,19.69688358,13.67032419,95,123,85,12.8982291,3.677655464,3.819544469
FBgn0000477,310.5479161,569.077156,1019.176872,23,63,154,49.62227189,118.623635,109.6581858,40,88,81,6.154364559,4.765589643,9.219172212
FBgn0000479,18.8833308,3.324488418,0.487139174,19,5,1,63.64637126,55.06881815,50.62254406,697,555,508,0.307570718,0.077128225,0.02880794
FBgn0000482,188.8326792,207.0410615,161.9732361,36,59,63,180.7264806,172.812983,150.9425927,375,330,287,1.04460659,1.196924752,1.072597441
FBgn0000489,327.2125708,351.6867776,160.3828902,61,98,61,200.590529,122.1019963,195.7747974,407,228,364,1.628115033,2.86499641,0.82014004
FBgn0000490,47.70011019,48.93119012,21.8214806,15,23,14,81.22482579,120.0073085,87.68313551,278,378,275,0.592279883,0.412629541,0.257337322
FBgn0000492,19.49125192,13.03975869,15.92269367,3,3,5,57.30672403,116.755879,111.3960637,96,180,171,0.351438917,0.119227667,0.150563046
FBgn0000499,349.800808,374.4299766,211.4605382,60,96,74,603.1478971,520.34915,465.3051724,1126,894,796,0.580653859,0.720112379,0.455625523
FBgn0000520,629.4317836,637.1808823,726.6347501,76,115,179,299.8107274,283.6070155,269.8818586,394,343,325,2.095775603,2.24232309,2.686170103
FBgn0000524,56.3080611,118.8066903,104.0282653,13,41,49,191.4203768,185.944548,180.6657408,481,430,416,0.297827403,0.640867527,0.578140187
FBgn0000533,336.6059642,421.325676,377.8735705,31,58,71,364.1403849,352.3150915,337.5025522,365,325,310,0.924592234,1.195323059,1.119263557
FBgn0000536,86.00246363,98.29090346,72.0131093,24,41,41,134.9893098,126.645769,125.3950324,410,354,349,0.639774286,0.777862864,0.577658061
FBgn0000541,546.5394515,495.593688,287.2509585,332,450,356,1106.554985,1112.653336,1191.559488,7316,6770,7219,0.494367737,0.445914067,0.241707824
FBgn0000542,325.689538,340.6978474,221.5559419,165,258,229,367.2491176,437.088297,429.2740843,2025,2218,2169,0.887142759,0.779974836,0.517242265
FBgn0000543,511.559875,513.3547104,497.7936862,68,102,135,393.9837277,384.5433395,396.7606185,570,512,526,1.297673395,1.334103479,1.254004703
FBgn0000546,63.42472473,75.93005716,37.63231035,38,68,46,201.6585391,203.1264473,182.9154589,1315,1219,1093,0.317897904,0.376874522,0.210054721
FBgn0000547,1282.573926,1023.78917,719.7245883,497,593,569,1394.418278,1573.409292,1475.913107,5881,6107,5704,0.91984887,0.650903914,0.487993901
FBgn0000557,24.97072033,41.76388575,61.19685879,4,10,20,30.97281715,35.52496901,56.3337735,54,57,90,0.812275009,1.170812376,1.084820604
FBgn0000559,13059.35989,10319.35325,9523.096314,2407,2843,3581,24450.72984,26175.58813,24061.78339,49049,48324,44231,0.534128259,0.394258916,0.395801939
FBgn0000562,36.7232742,17.1976559,10.79992405,10,7,6,81.31568174,82.85860308,35.34824716,241,226,96,0.45827567,0.217004043,0.324635298
FBgn0000565,85.7192822,90.11622498,204.0738972,7,11,34,85.50862982,100.2494759,85.9476052,76,82,70,1.002435045,0.899917991,2.358591668
FBgn0000566,1716.390677,908.1130276,1303.170132,153,121,237,1007.013167,994.5473269,882.9774801,977,888,785,1.703738337,0.913179116,1.475343163
FBgn0000575,752.558283,557.6018886,963.8102059,93,103,243,1323.405891,1483.261216,1558.618443,1780,1836,1921,0.568978354,0.376350121,0.618619387
FBgn0000576,173.9687312,98.4805235,167.2615356,26,22,51,112.5031823,187.0439443,205.2931833,183,280,306,1.541531503,0.529028063,0.815642732
FBgn0000577,77.20173994,59.59431262,136.807419,13,15,47,112.4001332,184.9805655,210.1907965,206,312,353,0.68960889,0.325809917,0.652525684
FBgn0000578,521.2982116,334.1440847,242.136075,191,183,181,717.692432,749.0578855,765.9686955,2862,2749,2799,0.72673398,0.446824293,0.317009125
FBgn0000579,200.6791618,125.3051367,137.7077459,45,42,63,386.7921294,314.7726216,283.487737,944,707,634,0.520070281,0.399987612,0.487570211
FBgn0000581,407.4703255,367.857954,150.7189291,269,363,203,1015.97363,975.2677333,1013.187683,7300,6449,6671,0.401652819,0.377824588,0.149596501
FBgn0000588,165.416368,201.7999588,252.7746308,17,31,53,252.1125919,265.2039445,276.1030789,282,273,283,0.657479609,0.761821765,0.915813104
FBgn0000591,301.8567181,129.8210566,105.6819616,14,9,10,55.46853696,131.3077676,136.1973364,28,61,63,5.363282536,0.988763237,0.777580414
FBgn0000606,341.9887558,323.4651567,381.4923385,29,41,66,451.8203147,456.8076072,428.0333956,417,388,362,0.757450019,0.708736927,0.891521132
FBgn0000611,888.7821984,1024.593839,1097.703365,177,305,446,1384.996381,1444.285703,1545.666204,3002,2881,3070,0.641980175,0.709613219,0.710368767
FBgn0000617,1873.426071,1983.621085,2422.176027,127,201,335,422.8665205,421.1983339,316.5205172,312,286,214,4.422208362,4.700684312,7.631557318
FBgn0000618,692.2300682,441.053203,840.1610896,21,20,52,166.5749624,167.8375432,366.8676335,55,51,111,4.136835588,2.618216272,2.286586296
FBgn0000629,447.955046,466.1758583,570.2582786,72,112,187,184.0660437,193.7957744,251.3982426,322,312,403,2.425917996,2.398285382,2.263321142
FBgn0000633,30.5095586,35.25548228,14.95422739,11,19,11,53.26051909,86.67130776,85.09811112,209,313,306,0.580708757,0.413538742,0.185302873
FBgn0000635,68.08332179,124.4982235,88.98924552,30,82,80,24.60465948,103.3170738,91.92975481,118,456,404,2.698076178,1.203045857,0.96835772
FBgn0000636,50.15292892,40.26311454,55.31040958,20,24,45,5.759996019,88.1245153,32.43480341,25,352,129,7.567005776,0.462982765,1.684185455
FBgn0000658,130.7394065,203.0446983,102.9885745,28,65,45,93.09451228,173.4120173,137.642028,217,372,294,1.400075342,1.169900455,0.750050876
FBgn0000659,150.7674921,235.3500613,176.2195581,39,91,93,165.873059,274.7962932,257.7626593,467,712,665,0.909478696,0.856973307,0.684872998
FBgn0000662,618.2203464,465.7578122,406.7566289,111,125,149,730.2308186,716.1829062,734.905435,1427,1288,1316,0.846819268,0.650821162,0.554088351
FBgn0000667,330.2273561,340.8541474,118.6977616,105,162,77,291.8508696,250.8755285,276.5531416,1010,799,877,1.131044468,1.357234462,0.431260698
FBgn0000709,291.9717124,271.1650281,148.1605491,85,118,88,344.3201757,323.386076,305.1482106,1091,943,886,0.84840601,0.839015754,0.487216792
FBgn0000711,166.7362037,108.9533439,60.81902973,43,42,32,262.9260911,268.2763944,247.660155,738,693,637,0.635542333,0.408328937,0.248608506
FBgn0000719,202.0787118,147.021094,179.5257028,80,87,145,318.884331,225.4529224,230.2235336,1374,894,909,0.634850451,0.653650624,0.780741043
FBgn0000721,691.5545315,510.6802843,313.161169,289,319,267,1002.337665,928.6047525,783.1302383,4559,3887,3264,0.690250706,0.550427784,0.400649221
FBgn0000723,146.379768,146.8933493,88.19010999,48,72,59,108.9946768,123.9144629,118.6388142,389,407,388,1.339880913,1.183956972,0.745494768
FBgn0000808,36.66642702,4.906009755,0,5,1,0,34.36249054,17.57104545,17.64676425,51,24,24,1.065151986,0.318022471,0.053628607
FBgn0000810,347.6919172,356.1808091,207.7003742,64,98,78,558.048948,480.5472711,526.7400606,1118,886,967,0.623723412,0.741735714,0.395460549
FBgn0000927,51.93016023,0,7.272432078,7,0,2,77.70381529,58.51086068,48.34930479,114,79,65,0.672523435,0.016803655,0.167630164
FBgn0000928,28.40758133,15.83736159,16.24460306,6,5,7,4.350096365,8.03562576,12.81746166,10,17,27,5.496645166,1.863441673,1.248029739
FBgn0000996,1532.301436,1717.957041,1675.63162,290,486,647,1794.781279,1733.410977,1773.197775,3697,3286,3347,0.853835294,0.991089807,0.945008298
FBgn0001075,94.45369077,100.0509248,53.04792981,96,152,110,75.48315504,229.8536103,180.7292405,835,2340,1832,1.248035475,0.437727288,0.2974091
FBgn0001077,243.0070551,356.4102701,219.8947332,26,57,48,632.8909592,418.9668371,565.0906236,737,449,603,0.384935377,0.851044031,0.390210903
FBgn0001078,328.4809359,343.8529103,148.6924632,170,266,157,206.6474725,170.5301939,155.3784808,1164,884,802,1.586732224,2.010450187,0.957244644
FBgn0001079,316.2087403,300.2580587,242.4833762,62,88,97,377.6879176,319.254843,330.8580576,806,627,647,0.837652129,0.940682289,0.733697346
FBgn0001083,3.529280183,7.083325706,1.729872892,1,3,1,11.67359193,28.54032598,15.57019561,36,81,44,0.357379361,0.273636984,0.164745967
FBgn0001084,127.6938732,45.99965426,91.47625243,13,7,19,97.46896012,69.62622178,74.85064629,108,71,76,1.306948636,0.665470318,1.219188721
FBgn0001085,473.4820159,392.3201173,312.9841757,109,135,147,724.3850671,725.1052271,655.4940359,1815,1672,1505,0.654110537,0.541684735,0.478274224
FBgn0001086,5615.459625,4807.115315,4894.080813,676,865,1202,2366.771052,2695.316356,2600.319821,3101,3250,3122,2.372045059,1.783216314,1.88176816
FBgn0001087,233.422937,136.0114339,155.0098091,62,54,84,221.0388271,188.3117149,161.1888398,639,501,427,1.055774524,0.723734577,0.961902245
FBgn0001090,12401.96565,12463.78977,31863.817,2039,3063,10688,3687.79946,3052.600398,4187.893226,6599,5027,6867,3.362331238,4.081997691,7.606977615
FBgn0001091,89.62463946,89.93909235,120.8059072,8,12,22,529.0740041,277.3811141,257.2338818,514,248,229,0.170966014,0.326671199,0.471688325
FBgn0001092,11.49033839,7.68710191,95.74360943,1,1,17,386.393466,178.9555575,253.4607726,366,156,220,0.032241996,0.048273596,0.380190661
FBgn0001098,1026.112229,809.56699,672.9094803,145,171,194,2289.331879,2208.53155,2059.109888,3521,3126,2902,0.448455632,0.366850154,0.327123075
FBgn0001099,112.8889076,226.5699688,235.1626015,8,24,34,20.74422124,9.861593486,19.80817999,16,7,14,5.237663209,20.95180317,11.34950782
FBgn0001104,5735.413249,6133.872205,5115.216567,715,1143,1301,2463.831024,2442.565876,2449.874442,3343,3050,3046,2.327304871,2.510622802,2.087506598
FBgn0001105,579.8018603,761.9282608,466.8823545,196,385,322,850.1707263,815.7084853,896.34097,3128,2762,3022,0.68235648,0.934150036,0.521409776
FBgn0001108,156.6953861,158.4641151,144.6774441,43,65,81,134.5952322,153.1643252,141.0361073,402,421,386,1.162986217,1.034377538,1.025636698
FBgn0001114,9.83134201,85.50391031,185.5246366,2,26,77,0,2.453808044,1.97150578,0,5,4,10.83134201,25.04595195,62.77108321
FBgn0001120,125.7463793,48.0714542,35.21968731,7,4,4,236.0202988,116.5731624,93.6604084,143,65,52,0.534749049,0.417369519,0.382627626
FBgn0001122,224.8649372,217.8727194,209.0328246,87,126,165,281.4081746,240.237026,253.1933574,1185,931,977,0.799781867,0.907293225,0.826271885
FBgn0001123,345.4282979,383.4051269,519.4778809,44,73,135,311.6053119,319.7813797,490.3978273,432,408,623,1.108197093,1.198339901,1.05917823
FBgn0001124,665.0958414,582.8256436,592.3026143,71,93,129,1107.695267,1010.972519,982.4553518,1287,1081,1046,0.600792536,0.576918476,0.603283731
FBgn0001125,9.562029008,6.397051936,14.06045475,1,1,3,104.547316,55.36889076,63.27749045,119,58,66,0.100069139,0.131225785,0.234303714
FBgn0001128,168.3305411,161.8827572,100.5554477,32,46,39,235.8569253,238.9527927,219.4125811,488,455,416,0.714906439,0.678811675,0.460751592
FBgn0001133,236.3648755,169.8427421,308.9439731,27,29,72,263.0163808,259.5753196,197.4953834,327,297,225,0.899053592,0.655636698,1.561466911
