,RPFs.DC1_t_bw_star_s.bam,RPFs.DC2_t_bw_star_s.bam,RPFs.DC3_t_bw_star_s.bam,RPFsRawCounts.DC1_t_bw_star_s.bam,RPFsRawCounts.DC2_t_bw_star_s.bam,RPFsRawCounts.DC3_t_bw_star_s.bam,mRNA.DC4_t_star_s.bam,mRNA.DC5_t_star_s.bam,mRNA.DC6_t_star_s.bam,mRNARawCounts.DC4_t_star_s.bam,mRNARawCounts.DC5_t_star_s.bam,mRNARawCounts.DC6_t_star_s.bam,TE.DC1_t_bw_star_s.bam,TE.DC2_t_bw_star_s.bam,TE.DC3_t_bw_star_s.bam
FBgn0028542,0,0,10.9972163,0,0,2,0,0,0,0,0,0,1,1,11.9972163
FBgn0028562,0,0,15.1622068,0,0,3,11.36868468,11.3238358,7.237130438,12,11,7,0.080849341,0.081143567,1.962116167
FBgn0028871,0,0,19.99247933,0,0,2,0,0,2.044861315,0,0,1,1,1,6.894395888
FBgn0028878,0,0,7.659701081,0,0,2,0,0.78008431,0,0,1,0,1,0.561771144,8.659701081
FBgn0028887,0,0,1.386850315,0,0,1,0,0,0,0,0,0,1,1,2.386850315
FBgn0028950,0,0,10.49314764,0,0,2,0,0,0,0,0,0,1,1,11.49314764
FBgn0029167,0,0,4.147810232,0,0,6,8.163868328,9.574944339,10.60610911,63,68,75,0.109124222,0.094563145,0.443543153
FBgn0029170,0,0,30.34328381,0,0,6,0,0,1.034519135,0,0,1,1,1,15.40574541
FBgn0029573,0,0,23.55635608,0,0,2,0,2.399041894,2.409380071,0,1,1,1,0.294200552,7.202586853
FBgn0029606,0,0,9.100719874,0,0,1,0,0,0,0,0,0,1,1,10.10071987
FBgn0029659,0,0,7.036314153,0,0,1,0,0,0,0,0,0,1,1,8.036314153
FBgn0029690,0,0,7.81061302,0,0,2,0,0,0,0,0,0,1,1,8.81061302
FBgn0029708,0,0,12.03991533,0,0,6,4.889937954,6.130884839,3.694382776,13,15,9,0.169781075,0.140235051,2.777769933
FBgn0029720,0,0,3.283613272,0,0,1,6.155166655,6.688238007,3.358529796,10,10,5,0.139759149,0.130068814,0.982811515
FBgn0029761,0,0,1.492414443,0,0,2,0.41963192,1.36792307,0.763232141,3,9,5,0.704407943,0.422311017,1.413548667
FBgn0029762,0,0,6.540799072,0,0,2,1.226079475,3.330661784,0,2,5,0,0.44922026,0.23091159,7.540799072
