"","RPFs.DC1_184t_bw_star_Aligned.sortedByCoord.out.bam","RPFs.DC2_184t_bw_star_Aligned.sortedByCoord.out.bam","RPFs.DC3_184t_bw_star_Aligned.sortedByCoord.out.bam","RPFsRawCounts.DC1_184t_bw_star_Aligned.sortedByCoord.out.bam","RPFsRawCounts.DC2_184t_bw_star_Aligned.sortedByCoord.out.bam","RPFsRawCounts.DC3_184t_bw_star_Aligned.sortedByCoord.out.bam","mRNA.DC4_184t_star_Aligned.sortedByCoord.out.bam","mRNA.DC5_184t_star_Aligned.sortedByCoord.out.bam","mRNA.DC6_184t_star_Aligned.sortedByCoord.out.bam","mRNARawCounts.DC4_184t_star_Aligned.sortedByCoord.out.bam","mRNARawCounts.DC5_184t_star_Aligned.sortedByCoord.out.bam","mRNARawCounts.DC6_184t_star_Aligned.sortedByCoord.out.bam","TE.DC1_184t_bw_star_Aligned.sortedByCoord.out.bam","TE.DC2_184t_bw_star_Aligned.sortedByCoord.out.bam","TE.DC3_184t_bw_star_Aligned.sortedByCoord.out.bam"
"FBgn0000008",38.7703313114901,55.2219316419636,31.67251877755,20,30,15,167.532251841385,169.662157693415,158.137996123466,617,637,570,0.235980537119508,0.329434084285768,0.20530935146501
"FBgn0000017",452.750305278826,425.24750042007,349.575923922142,553,547,392,268.344824308991,255.462284545389,243.249988635542,2340,2271,2076,1.684644605453,1.66202800998847,1.4353160296161
"FBgn0000018",76.0516571450752,122.210587774266,152.932010400585,13,22,24,238.452600815571,202.554505145831,246.989905678452,291,252,295,0.321782502602348,0.6052953123587,0.620718855388316
"FBgn0000024",1.23865557488733,0,0,1,0,0,0.346995867498363,0,0,2,0,0,1.66196172453369,1,1
"FBgn0000032",331.861776633056,497.301141779787,485.732919397312,64,101,86,753.181703747588,636.928695564081,760.664212596002,1037,894,1025,0.441354881693681,0.781123572657553,0.639038714630383
"FBgn0000042",14502.1674086548,15417.0794173885,14529.5038742863,4115,4607,3785,7823.63688234314,8786.098830035,8452.34313759767,15849,18145,16758,1.85352593695207,1.75462683595731,1.71890619341588
"FBgn0000043",2988.4653023539,3058.35993064547,3388.72316649931,463,499,482,1502.59518068612,1796.72952615549,1650.75886512941,1662,2026,1787,1.98821154839679,1.70179100144616,2.05219008540556
"FBgn0000044",206.980496128012,265.906626911082,298.390400223299,34,46,45,16.2012249770763,40.1483573341752,2.61374743867519,19,48,3,12.0910281916075,6.48644670657136,82.8476270973316
"FBgn0000045",84.2721883374089,98.4876385948828,63.5484928949929,13,16,9,1.81599504960694,8.01603243253375,2.78326163327735,2,9,3,30.2813701143798,11.034525367931,17.0615989989241
"FBgn0000046",770.381492287067,611.270783056311,620.724042214139,146,122,108,110.124258876755,144.272015258709,129.134104225105,149,199,171,6.94161203039011,4.21465057785522,4.77756423587998
"FBgn0000047",72.3801978346233,137.458178349237,129.00941692413,11,22,18,3.68664073393559,3.61628882153177,4.70856905357996,4,4,5,15.6573123481139,29.9933959295238,22.7744318591711
"FBgn0000052",236.696632521885,391.076887658013,293.912973980285,100,174,114,280.81430982867,245.861151712869,279.471732222802,847,756,825,0.843451252231987,1.58824863668322,1.05148911672143
"FBgn0000053",103.194779967146,175.12977116043,155.451549274862,47,84,65,175.298610003009,180.098559633623,160.887273301905,570,597,512,0.591013054302399,0.972563070168832,0.966422783482764
"FBgn0000055",162.967836739447,190.117955192434,223.155892727384,35,43,44,0,0,3.9983146266868,0,0,6,163.967836739447,191.117955192434,44.8462950952667
"FBgn0000056",29.7593441002468,80.0648415951961,48.6224054806207,6,17,9,0,0,0,0,0,0,30.7593441002468,81.0648415951961,49.6224054806207
"FBgn0000057",169.497931638042,187.04752117143,124.745392595414,37,43,25,319.547752223088,295.826158343659,344.857981569793,498,470,526,0.531895577041459,0.633527456679586,0.363575222479111
"FBgn0000063",107.843452168355,232.735122146653,144.16395609107,22,50,27,336.442557871014,346.186602587155,390.767246682507,490,514,557,0.322554015874786,0.673226214389936,0.370536223536605
"FBgn0000064",374.727619138559,460.479484309863,474.193622692598,136,176,158,858.717979433294,904.038976160377,858.868213227722,2225,2388,2178,0.437035897965319,0.509900121945783,0.552635410150638
"FBgn0000071",355.949893770476,256.056473029797,411.211071131069,66,50,70,68.7432514551749,546.861476710337,206.085792394947,91,738,267,5.11805639001349,0.469199759350312,1.99053284324264
"FBgn0000075",70.7854902384468,85.1387772824075,15.4204151674151,15,19,3,3.96595681472163,18.1546154192456,6.07837309030039,6,28,9,14.455520439815,4.49702462811441,2.31980074487967
"FBgn0000077",88.5664868018598,91.1071259452575,265.291868252913,12,13,33,232.602530483673,185.57321776948,242.944944768749,225,183,230,0.38341402645088,0.493678176570124,1.09160642170859
"FBgn0000083",708.788237357865,668.227106760462,540.426166034484,140,139,98,406.337433570842,345.021516219274,449.233375502675,573,496,620,1.74250677413968,1.93406211865846,1.20254560299976
"FBgn0000084",42.0815103689671,175.818600214141,82.5060224514783,5,22,9,386.668597908128,308.75117060578,358.946264131049,328,267,298,0.111129739683421,0.570840781225579,0.231995802632016
"FBgn0000097",248.234616886071,272.25742053862,238.945751123686,129,149,114,506.727214190468,730.251311491009,541.987895725169,1880,2762,1968,0.490882918859207,0.373684691219839,0.441898895008027
