step	pearson
0	-0.03804006
1	0.19384202
2	0.35154194
3	0.41780597
4	0.48134056
5	0.5009991
6	0.529758
7	0.54691035
8	0.5840044
9	0.5995466
10	0.62393904
11	0.6311633
12	0.6900699
13	0.7020614
14	0.7207446
