step	loss
0	0.160609810274433
1	0.06280628823163373
2	0.05328876921488506
3	0.05065813519077022
4	0.048279282451524484
5	0.04732233818028748
6	0.045468646945279925
7	0.04617526009579186
8	0.044888883045947875
9	0.04372552065982101
10	0.042484349955430274
11	0.04144430562062822
12	0.0417938562651028
13	0.041321633758892105
14	0.03921883845789583
15	0.03909015500093538
16	0.03796230060060199
17	0.038022684080379406
18	0.03573696357788436
19	0.03665675511219982
20	0.035870947241106815
21	0.03494813521095545
22	0.03523281407592067
23	0.034769933925291055
24	0.03324864381705518
25	0.0328693382003604
26	0.03197125679001517
27	0.03131853426702155
