step	spearmanr
0	0.016769266421688387
1	0.23574378816447453
2	0.34777099893485763
3	0.394579280621337
4	0.41231620238398614
5	0.4221776365279723
6	0.45400079411628774
7	0.4497513212850107
8	0.46431096328953575
9	0.47735282333553103
10	0.49168823031963815
11	0.5108873469892882
12	0.5173992507682176
13	0.5095121614879162
14	0.5397875080512824
15	0.5411962409066755
16	0.5542674013443891
17	0.5529599978077913
18	0.579999570068335
19	0.572647034561143
20	0.5836608034302896
21	0.5994248770161494
22	0.5864056761835611
23	0.5955892891081245
24	0.6130488494421541
25	0.6122995434608657
26	0.6278147781209836
27	0.6400405126487708
