step	loss
0	14.209029579162598
1	14.667922096252443
2	10.826282802581787
3	6.403900778961182
4	3.6252611709976192
5	2.639915772941589
6	2.3892848151260373
7	2.3296343496905516
8	2.277447398731445
9	2.1401010386604735
10	2.1991507218769923
11	2.173332079380587
12	2.1805063454568057
13	2.007364367808097
14	1.8564990471532332
15	1.733515280698347
16	1.652398852152548
17	1.476287883051817
18	1.424875386859692
19	1.281940139990194
20	1.2664944485150067
21	1.100519775456633
22	0.937261342824786
23	0.8530359387042699
24	0.7867699170041597
25	0.7413139979825123
26	0.7151054867264769
27	0.6742552603911786
28	0.6422359006729013
29	0.5885429850643135
30	0.5896714423383327
31	0.540431590761444
32	0.5519388858250183
33	0.5715861368928632
