step	corr
0	-0.064990112560584
1	-0.04789236359609031
2	-0.06476341595282216
3	0.023464420324673847
4	-0.008612870868729281
5	0.0074029829187062315
6	0.009809164191133958
7	0.12624001329681525
8	0.07019757817600542
9	0.3097704477234913
10	0.1589890628709084
11	0.2966769690195735
12	0.2883172658260441
13	0.3706752007495055
14	0.45928483002670395
15	0.5028955174405416
16	0.5335834290434729
17	0.6104710124483846
18	0.6453208347351592
19	0.696188397858135
20	0.7124220033421482
21	0.7371674918346833
22	0.7974180732407388
23	0.8029418029398607
24	0.8198317777544006
25	0.8372849436940459
26	0.8359196074693602
27	0.8575966951662062
28	0.8528677990775841
29	0.8767943010611157
30	0.8720907210022435
31	0.8782474532456588
32	0.8686413117069512
33	0.8710762584346602
