step	spearmanr
0	-0.07015532628217111
1	-0.04943704575921821
2	-0.046243981222908875
3	0.034564520192366034
4	0.005150937146570825
5	0.007602744516306506
6	0.004177156557335819
7	0.12101521741432446
8	0.07337192377277955
9	0.2992518200723794
10	0.14807979457650305
11	0.29310978549321803
12	0.2805221134773445
13	0.36644857034895606
14	0.4560034631349203
15	0.5036796595492047
16	0.5380728176931165
17	0.616200451563029
18	0.6484612266602598
19	0.7118716391992412
20	0.7133688727884225
21	0.7450634525643252
22	0.8032039114312762
23	0.8085432128133151
24	0.8265683435260743
25	0.8432511513117368
26	0.8442088738857114
27	0.8617542380916592
28	0.8568593602859057
29	0.8839862795438013
30	0.8772607323945016
31	0.8809865384760281
32	0.8696832553185045
33	0.8723078418052335
